user_id,install_date,platform,device_tier,country,acquisition_channel
u000135,2026-09-05,ios,high,KR,organic
u000136,2026-08-31,ios,low,JP,tiktok_ads
u000137,2026-09-04,android,mid,KR,meta_ads
u000138,2026-08-15,ios,high,JP,organic
u000139,2026-08-30,android,low,JP,organic
u000140,2026-09-05,ios,high,KR,google_ads
u000141,2026-08-17,android,low,KR,google_ads
u000142,2026-08-24,android,mid,KR,organic
u000143,2026-08-21,android,mid,KR,google_ads
u000144,2026-08-24,android,low,KR,tiktok_ads
u000145,2026-09-01,android,low,KR,organic
u000146,2026-08-21,ios,mid,TW,meta_ads
u000147,2026-08-26,android,high,US,tiktok_ads
u000148,2026-08-15,ios,mid,KR,meta_ads
u000149,2026-08-18,android,mid,KR,meta_ads
u000150,2026-08-24,ios,mid,KR,organic
u000151,2026-08-26,android,mid,KR,organic
u000152,2026-08-19,android,low,US,meta_ads
u000153,2026-08-25,ios,low,KR,meta_ads
u000154,2026-08-26,android,low,JP,tiktok_ads
u000155,2026-08-24,android,low,US,meta_ads
u000156,2026-08-23,ios,high,JP,cross_promo
u000157,2026-08-23,android,mid,OTHER,meta_ads
u000158,2026-08-22,ios,mid,OTHER,tiktok_ads
u000159,2026-08-22,android,low,KR,google_ads
u000160,2026-08-28,android,mid,KR,meta_ads
u000161,2026-09-06,android,low,KR,organic
u000162,2026-08-20,android,mid,US,tiktok_ads
u000163,2026-08-20,android,low,KR,organic
u000164,2026-08-17,ios,mid,KR,google_ads
u000165,2026-08-23,android,mid,TW,tiktok_ads
u000166,2026-08-16,android,low,KR,meta_ads
u000167,2026-08-18,android,mid,JP,cross_promo
u000168,2026-08-20,android,mid,TW,organic
u000169,2026-08-17,android,low,JP,cross_promo
u000170,2026-08-19,android,mid,KR,cross_promo
u000171,2026-08-20,android,high,KR,google_ads
u000172,2026-09-01,android,high,KR,organic
u000173,2026-08-18,ios,high,TW,cross_promo
u000174,2026-09-02,ios,high,US,tiktok_ads
u000175,2026-08-19,android,low,US,meta_ads
u000176,2026-08-29,android,mid,KR,google_ads
u000177,2026-08-27,ios,mid,KR,meta_ads
u000178,2026-08-28,android,mid,KR,meta_ads
u000179,2026-09-01,android,mid,KR,cross_promo
u000180,2026-09-03,ios,high,US,meta_ads
u000181,2026-08-28,android,mid,US,google_ads
u000182,2026-08-16,android,low,US,tiktok_ads
u000183,2026-09-01,android,mid,KR,cross_promo
u000184,2026-08-30,ios,high,JP,meta_ads
u000185,2026-08-23,android,mid,KR,tiktok_ads
u000186,2026-08-25,ios,mid,KR,tiktok_ads
u000187,2026-08-27,android,mid,KR,google_ads
u000188,2026-09-04,ios,low,KR,meta_ads
u000189,2026-09-04,ios,high,TW,meta_ads
u000190,2026-09-04,android,low,KR,organic
u000191,2026-08-28,ios,low,KR,google_ads
u000192,2026-09-03,ios,mid,KR,google_ads
u000193,2026-09-03,android,mid,US,meta_ads
u000194,2026-08-26,ios,mid,KR,organic
u000195,2026-08-30,ios,high,US,meta_ads
u000196,2026-08-17,ios,high,KR,tiktok_ads
u000197,2026-09-01,android,mid,KR,google_ads
u000198,2026-08-16,ios,high,KR,meta_ads
u000199,2026-09-01,android,low,KR,tiktok_ads
u000200,2026-08-24,android,low,JP,organic
u000201,2026-08-16,ios,high,TW,google_ads
u000202,2026-08-29,ios,mid,KR,google_ads
u000203,2026-08-27,android,low,JP,tiktok_ads
u000204,2026-08-24,android,mid,JP,google_ads
u000205,2026-08-21,ios,low,KR,meta_ads
u000206,2026-08-23,android,low,TW,organic
u000207,2026-08-30,android,low,JP,organic
u000208,2026-08-15,android,mid,KR,google_ads
u000209,2026-08-27,android,high,KR,meta_ads
u000210,2026-08-31,android,low,KR,organic
u000211,2026-08-16,ios,mid,JP,meta_ads
u000212,2026-08-21,android,low,KR,cross_promo
u000213,2026-08-27,android,mid,KR,tiktok_ads
u000214,2026-09-05,ios,low,TW,tiktok_ads
u000215,2026-08-27,ios,high,KR,tiktok_ads
u000216,2026-08-20,ios,mid,KR,tiktok_ads
u000217,2026-08-28,android,high,OTHER,google_ads
u000218,2026-08-15,android,low,KR,meta_ads
u000219,2026-09-05,android,mid,KR,google_ads
u000220,2026-08-21,android,low,OTHER,meta_ads
u000221,2026-08-29,android,low,KR,meta_ads
u000222,2026-08-15,android,high,KR,meta_ads
u000223,2026-09-03,android,high,KR,organic
u000224,2026-08-27,ios,high,KR,organic
u000225,2026-09-06,android,low,US,meta_ads
u000226,2026-08-20,android,mid,TW,google_ads
u000227,2026-08-18,android,low,KR,organic
u000228,2026-08-27,android,mid,OTHER,organic
u000229,2026-08-26,ios,mid,TW,tiktok_ads
u000230,2026-08-25,ios,high,KR,organic
u000231,2026-09-03,android,high,KR,organic
u000232,2026-08-20,ios,high,KR,meta_ads
u000233,2026-09-01,ios,high,KR,google_ads
u000234,2026-09-01,android,mid,KR,google_ads
u000235,2026-08-21,android,low,TW,google_ads
u000236,2026-08-27,android,mid,US,organic
u000237,2026-08-20,android,mid,KR,tiktok_ads
u000238,2026-09-05,ios,mid,US,organic
u000239,2026-09-01,android,mid,KR,meta_ads
u000240,2026-08-18,android,mid,KR,organic
u000241,2026-08-26,ios,low,KR,meta_ads
u000242,2026-08-23,android,low,KR,organic
u000243,2026-08-23,ios,high,US,google_ads
u000244,2026-09-06,android,mid,OTHER,organic
u000245,2026-08-19,android,low,KR,meta_ads
u000246,2026-09-04,android,high,KR,meta_ads
u000247,2026-09-02,android,mid,KR,organic
u000248,2026-09-06,android,low,KR,organic
u000249,2026-08-18,ios,mid,KR,google_ads
u000250,2026-09-04,android,low,OTHER,organic
u000251,2026-08-27,android,low,US,cross_promo
u000252,2026-08-27,android,mid,KR,organic
u000253,2026-09-04,android,high,US,tiktok_ads
u000254,2026-09-01,ios,mid,KR,meta_ads
u000255,2026-09-03,android,mid,US,organic
u000256,2026-08-30,android,mid,KR,organic
u000257,2026-08-17,ios,high,KR,google_ads
u000258,2026-08-15,android,mid,JP,google_ads
u000259,2026-08-23,ios,high,KR,meta_ads
u000260,2026-08-25,android,mid,TW,organic
u000261,2026-09-04,android,low,KR,meta_ads
u000262,2026-08-15,android,mid,TW,organic
u000263,2026-08-31,android,low,KR,google_ads
u000264,2026-08-31,ios,high,KR,organic
u000265,2026-08-31,android,mid,OTHER,cross_promo
u000266,2026-09-03,android,low,US,meta_ads
u000267,2026-08-29,android,low,JP,organic
u000268,2026-08-24,android,mid,KR,meta_ads
u000269,2026-08-27,ios,high,OTHER,organic
u000270,2026-09-05,ios,mid,KR,meta_ads
u000271,2026-08-17,ios,mid,KR,google_ads
u000272,2026-09-05,ios,low,US,tiktok_ads
u000273,2026-09-03,ios,high,US,meta_ads
u000274,2026-09-01,android,mid,KR,meta_ads
u000275,2026-09-02,android,low,OTHER,tiktok_ads
u000276,2026-08-27,android,mid,KR,organic
u000277,2026-08-23,android,mid,JP,tiktok_ads
u000278,2026-08-24,android,mid,KR,organic
u000279,2026-09-05,android,low,KR,organic
u000280,2026-09-05,ios,high,US,organic
u000281,2026-08-17,android,low,KR,meta_ads
u000282,2026-08-15,android,mid,US,meta_ads
u000283,2026-09-05,ios,mid,JP,meta_ads
u000284,2026-09-01,ios,mid,US,cross_promo
u000285,2026-08-15,android,mid,TW,organic
u000286,2026-08-16,ios,mid,KR,meta_ads
u000287,2026-08-23,android,mid,KR,google_ads
u000288,2026-09-01,android,mid,KR,meta_ads
u000289,2026-08-30,android,high,KR,google_ads
u000290,2026-08-25,ios,high,KR,google_ads
u000291,2026-08-16,android,mid,TW,meta_ads
u000292,2026-08-16,android,low,JP,tiktok_ads
u000293,2026-08-22,android,mid,KR,google_ads
u000294,2026-08-28,android,low,OTHER,organic
u000295,2026-08-21,android,mid,KR,meta_ads
u000296,2026-08-25,ios,high,OTHER,meta_ads
u000297,2026-08-25,ios,high,JP,organic
u000298,2026-08-24,android,low,KR,tiktok_ads
u000299,2026-08-18,ios,mid,KR,google_ads
u000300,2026-08-16,ios,high,JP,organic
u000301,2026-09-06,android,low,TW,google_ads
u000302,2026-08-29,ios,mid,KR,google_ads
u000303,2026-08-24,ios,mid,KR,google_ads
u000304,2026-08-23,android,mid,KR,google_ads
u000305,2026-08-26,ios,high,KR,organic
u000306,2026-09-06,android,high,KR,meta_ads
u000307,2026-08-29,android,high,KR,google_ads
u000308,2026-09-03,android,mid,US,organic
u000309,2026-09-05,android,mid,KR,tiktok_ads
u000310,2026-08-23,ios,high,KR,organic
u000311,2026-09-02,android,high,US,google_ads
u000312,2026-08-31,android,low,KR,tiktok_ads
u000313,2026-08-22,android,low,KR,google_ads
u000314,2026-09-05,android,high,KR,organic
u000315,2026-08-17,android,mid,KR,tiktok_ads
u000316,2026-08-26,android,high,KR,google_ads
u000317,2026-09-03,android,low,US,google_ads
u000318,2026-08-22,ios,high,KR,tiktok_ads
u000319,2026-08-23,android,low,KR,organic
u000320,2026-08-23,android,low,KR,organic
u000321,2026-08-28,ios,high,KR,organic
u000322,2026-08-27,android,high,JP,google_ads
u000323,2026-08-26,android,high,TW,organic
u000324,2026-08-18,ios,low,KR,organic
u000325,2026-09-06,android,mid,JP,google_ads
u000326,2026-08-29,ios,mid,JP,tiktok_ads
u000327,2026-08-23,android,high,KR,meta_ads
u000328,2026-08-15,ios,mid,US,google_ads
u000329,2026-08-28,android,low,TW,organic
u000330,2026-08-19,ios,mid,OTHER,tiktok_ads
u000331,2026-09-01,ios,mid,TW,tiktok_ads
u000332,2026-08-30,ios,high,KR,meta_ads
u000333,2026-08-16,android,low,KR,meta_ads
u000334,2026-08-15,android,mid,KR,organic
u000335,2026-08-19,android,mid,KR,cross_promo
u000336,2026-08-31,android,high,OTHER,meta_ads
u000337,2026-08-23,android,low,KR,organic
u000338,2026-09-03,ios,high,JP,google_ads
u000339,2026-08-27,android,high,KR,organic
u000340,2026-09-06,android,low,TW,tiktok_ads
u000341,2026-09-01,android,mid,OTHER,organic
u000342,2026-08-24,ios,mid,JP,tiktok_ads
u000343,2026-08-28,ios,high,JP,meta_ads
u000344,2026-08-22,ios,high,US,google_ads
u000345,2026-09-01,android,mid,JP,google_ads
u000346,2026-08-31,android,mid,US,meta_ads
u000347,2026-08-30,android,low,US,google_ads
u000348,2026-09-06,ios,mid,KR,meta_ads
u000349,2026-08-17,android,mid,KR,google_ads
u000350,2026-08-21,android,mid,JP,cross_promo
u000351,2026-08-16,ios,mid,US,google_ads
u000352,2026-09-06,ios,high,KR,organic
u000353,2026-09-01,android,low,OTHER,meta_ads
u000354,2026-08-19,android,high,KR,google_ads
u000355,2026-08-18,android,mid,KR,google_ads
u000356,2026-09-03,android,low,JP,organic
u000357,2026-08-27,ios,mid,TW,organic
u000358,2026-08-29,android,mid,KR,meta_ads
u000359,2026-08-24,android,low,US,tiktok_ads
u000360,2026-09-01,ios,mid,JP,organic
u000361,2026-08-25,ios,low,OTHER,organic
u000362,2026-08-27,ios,mid,KR,cross_promo
u000363,2026-08-21,ios,low,KR,meta_ads
u000364,2026-08-20,ios,high,TW,meta_ads
u000365,2026-08-18,android,high,KR,google_ads
u000366,2026-08-31,android,mid,KR,google_ads
u000367,2026-08-26,ios,high,US,organic
u000368,2026-08-29,android,mid,KR,tiktok_ads
u000369,2026-08-21,android,mid,KR,meta_ads
u000370,2026-08-16,android,low,KR,meta_ads
u000371,2026-08-20,android,mid,KR,organic
u000372,2026-08-27,android,mid,OTHER,organic
u000373,2026-08-19,ios,high,TW,meta_ads
u000374,2026-09-02,ios,low,KR,cross_promo
u000375,2026-08-23,android,low,KR,meta_ads
u000376,2026-09-02,ios,mid,US,tiktok_ads
u000377,2026-08-20,android,mid,KR,tiktok_ads
u000378,2026-08-31,ios,high,US,organic
u000379,2026-09-02,android,high,KR,tiktok_ads
u000380,2026-08-25,android,low,KR,organic
u000381,2026-08-17,ios,mid,KR,tiktok_ads
u000382,2026-08-17,ios,low,KR,tiktok_ads
u000383,2026-09-01,ios,mid,KR,organic
u000384,2026-08-26,ios,low,JP,tiktok_ads
u000385,2026-08-28,android,low,US,google_ads
u000386,2026-08-22,android,high,KR,meta_ads
u000387,2026-08-19,android,mid,US,meta_ads
u000388,2026-08-24,android,high,KR,meta_ads
u000389,2026-09-06,ios,mid,JP,organic
u000390,2026-08-29,ios,low,KR,organic
u000391,2026-08-25,android,high,KR,organic
u000392,2026-08-25,ios,high,KR,google_ads
u000393,2026-08-17,android,mid,KR,organic
u000394,2026-08-25,ios,mid,KR,google_ads
u000395,2026-09-01,android,low,JP,tiktok_ads
u000396,2026-09-04,android,mid,KR,tiktok_ads
u000397,2026-08-31,ios,mid,JP,google_ads
u000398,2026-08-24,ios,high,US,google_ads
u000399,2026-08-30,ios,mid,US,cross_promo
u000400,2026-08-16,android,low,KR,organic
u000401,2026-08-23,android,low,JP,tiktok_ads
u000402,2026-08-25,ios,low,TW,meta_ads
u000403,2026-08-23,android,mid,OTHER,organic
u000404,2026-08-22,android,mid,US,meta_ads
u000405,2026-08-31,android,high,KR,cross_promo
u000406,2026-08-19,ios,high,TW,meta_ads
u000407,2026-08-27,android,high,JP,meta_ads
u000408,2026-08-26,android,low,JP,cross_promo
u000409,2026-08-30,android,mid,US,tiktok_ads
u000410,2026-08-31,android,high,US,organic
u000411,2026-08-17,android,mid,KR,meta_ads
u000412,2026-09-01,ios,high,KR,cross_promo
u000413,2026-08-24,android,low,KR,tiktok_ads
u000414,2026-08-18,android,mid,JP,organic
u000415,2026-08-22,ios,low,JP,tiktok_ads
u000416,2026-08-24,android,high,KR,cross_promo
u000417,2026-09-01,android,mid,TW,meta_ads
u000418,2026-09-04,android,mid,KR,google_ads
u000419,2026-09-01,ios,high,OTHER,tiktok_ads
u000420,2026-09-06,android,low,TW,google_ads
u000421,2026-08-22,android,low,OTHER,organic
u000422,2026-08-17,android,mid,KR,organic
u000423,2026-08-19,android,low,TW,tiktok_ads
u000424,2026-09-04,android,low,OTHER,meta_ads
u000425,2026-09-04,ios,high,US,meta_ads
u000426,2026-08-17,android,low,KR,tiktok_ads
u000427,2026-08-26,android,mid,US,tiktok_ads
u000428,2026-08-27,ios,high,KR,meta_ads
u000429,2026-08-26,android,high,JP,google_ads
u000430,2026-08-21,android,low,KR,organic
u000431,2026-08-15,ios,mid,US,tiktok_ads
u000432,2026-09-02,ios,mid,KR,organic
u000433,2026-09-01,ios,mid,KR,organic
u000434,2026-08-20,ios,high,US,cross_promo
u000435,2026-08-30,android,mid,JP,meta_ads
u000436,2026-08-20,ios,mid,JP,organic
u000437,2026-08-29,android,high,KR,tiktok_ads
u000438,2026-09-02,android,low,KR,google_ads
u000439,2026-08-22,android,high,KR,organic
u000440,2026-08-15,android,low,US,organic
u000441,2026-08-27,android,mid,KR,google_ads
u000442,2026-08-21,android,low,KR,meta_ads
u000443,2026-08-29,android,high,KR,tiktok_ads
u000444,2026-08-31,android,low,JP,tiktok_ads
u000445,2026-08-24,ios,high,KR,meta_ads
u000446,2026-09-05,android,high,KR,meta_ads
u000447,2026-08-29,ios,high,KR,meta_ads
u000448,2026-08-19,android,mid,KR,meta_ads
u000449,2026-08-22,android,low,JP,google_ads
u000450,2026-09-06,ios,mid,KR,tiktok_ads
u000451,2026-08-24,android,low,KR,tiktok_ads
u000452,2026-08-22,android,low,KR,cross_promo
u000453,2026-09-04,ios,mid,JP,meta_ads
u000454,2026-09-02,android,mid,KR,tiktok_ads
u000455,2026-09-03,android,low,KR,google_ads
u000456,2026-08-28,android,mid,KR,google_ads
u000457,2026-08-27,android,mid,KR,organic
u000458,2026-08-19,ios,high,KR,organic
u000459,2026-08-16,android,mid,OTHER,tiktok_ads
u000460,2026-09-05,android,high,US,google_ads
u000461,2026-08-27,android,low,KR,meta_ads
u000462,2026-08-25,android,low,US,organic
u000463,2026-08-31,android,high,OTHER,google_ads
u000464,2026-08-28,android,mid,KR,google_ads
u000465,2026-08-18,android,low,JP,organic
u000466,2026-08-26,ios,mid,KR,organic
u000467,2026-08-15,android,high,KR,tiktok_ads
u000468,2026-09-04,ios,high,US,tiktok_ads
u000469,2026-08-29,ios,high,KR,meta_ads
u000470,2026-08-31,android,low,US,organic
u000471,2026-08-31,android,mid,KR,google_ads
u000472,2026-09-04,ios,mid,KR,meta_ads
u000473,2026-09-01,ios,high,KR,meta_ads
u000474,2026-08-18,android,high,KR,meta_ads
u000475,2026-08-24,android,high,KR,google_ads
u000476,2026-09-04,android,low,TW,organic
u000477,2026-08-30,android,low,KR,tiktok_ads
u000478,2026-08-22,android,low,KR,tiktok_ads
u000479,2026-08-27,android,low,KR,organic
u000480,2026-09-05,android,low,US,google_ads
u000481,2026-08-27,ios,high,US,cross_promo
u000482,2026-08-29,ios,high,KR,meta_ads
u000483,2026-08-26,android,low,KR,organic
u000484,2026-08-16,android,low,KR,organic
u000485,2026-08-30,ios,low,KR,organic
u000486,2026-09-01,android,mid,US,meta_ads
u000487,2026-08-31,ios,high,KR,organic
u000488,2026-09-03,android,high,KR,tiktok_ads
u000489,2026-08-15,ios,high,KR,google_ads
u000490,2026-08-30,android,low,KR,google_ads
u000491,2026-08-24,android,mid,JP,organic
u000492,2026-08-22,ios,high,KR,google_ads
u000493,2026-09-03,android,low,KR,meta_ads
u000494,2026-08-23,android,low,KR,google_ads
u000495,2026-08-26,android,high,KR,organic
u000496,2026-08-18,android,mid,US,tiktok_ads
u000497,2026-08-17,android,mid,US,tiktok_ads
u000498,2026-08-18,android,mid,OTHER,tiktok_ads
u000499,2026-08-20,android,low,KR,google_ads
u000500,2026-08-27,android,low,JP,meta_ads
u000501,2026-08-27,android,low,JP,meta_ads
u000502,2026-09-05,android,low,KR,organic
u000503,2026-08-23,android,mid,US,google_ads
u000504,2026-09-01,android,low,KR,meta_ads
u000505,2026-08-30,ios,mid,KR,google_ads
u000506,2026-08-23,ios,high,US,organic
u000507,2026-08-19,ios,low,US,tiktok_ads
u000508,2026-08-21,ios,low,KR,organic
u000509,2026-08-25,android,low,KR,tiktok_ads
u000510,2026-08-18,android,mid,TW,tiktok_ads
u000511,2026-08-21,ios,high,KR,tiktok_ads
u000512,2026-08-19,android,high,US,google_ads
u000513,2026-08-26,ios,low,US,organic
u000514,2026-08-24,ios,mid,OTHER,organic
u000515,2026-08-29,android,mid,KR,organic
u000516,2026-08-23,ios,low,KR,organic
u000517,2026-09-04,android,low,US,meta_ads
u000518,2026-08-30,ios,high,TW,organic
u000519,2026-08-29,android,low,KR,google_ads
u000520,2026-08-24,android,mid,US,google_ads
u000521,2026-08-24,android,mid,KR,organic
u000522,2026-08-17,android,mid,KR,organic
u000523,2026-08-23,ios,high,KR,tiktok_ads
u000524,2026-08-20,ios,mid,KR,meta_ads
u000525,2026-08-23,android,low,US,cross_promo
u000526,2026-08-25,android,low,KR,google_ads
u000527,2026-08-25,ios,high,KR,google_ads
u000528,2026-09-02,ios,low,TW,organic
u000529,2026-09-06,ios,low,KR,meta_ads
u000530,2026-08-16,ios,high,KR,organic
u000531,2026-08-29,ios,mid,OTHER,organic
u000532,2026-08-27,ios,high,KR,cross_promo
u000533,2026-08-30,android,high,KR,organic
u000534,2026-08-28,android,low,OTHER,tiktok_ads
u000535,2026-09-03,ios,mid,OTHER,meta_ads
u000536,2026-08-29,android,mid,KR,google_ads
u000537,2026-09-06,android,mid,KR,google_ads
u000538,2026-09-06,android,mid,KR,tiktok_ads
u000539,2026-09-04,ios,low,KR,organic
u000540,2026-08-31,ios,high,KR,organic
u000541,2026-09-05,ios,mid,KR,meta_ads
u000542,2026-08-17,android,mid,KR,google_ads
u000543,2026-09-06,android,mid,US,cross_promo
u000544,2026-08-22,ios,high,KR,organic
u000545,2026-08-17,android,low,KR,meta_ads
u000546,2026-08-31,ios,high,KR,cross_promo
u000547,2026-09-05,android,mid,OTHER,cross_promo
u000548,2026-08-26,ios,mid,TW,organic
u000549,2026-08-30,android,low,KR,google_ads
u000550,2026-08-28,android,low,US,google_ads
u000551,2026-08-19,ios,high,TW,organic
u000552,2026-09-04,android,high,US,google_ads
u000553,2026-08-26,android,low,KR,google_ads
u000554,2026-08-24,ios,high,KR,google_ads
u000555,2026-08-29,android,mid,US,organic
u000556,2026-08-20,android,mid,JP,meta_ads
u000557,2026-08-23,android,mid,US,organic
u000558,2026-09-02,android,low,JP,google_ads
u000559,2026-09-05,android,mid,KR,meta_ads
u000560,2026-08-29,android,mid,KR,meta_ads
u000561,2026-08-23,android,mid,KR,meta_ads
u000562,2026-08-17,ios,low,US,organic
u000563,2026-08-19,android,mid,JP,meta_ads
u000564,2026-08-18,android,high,KR,meta_ads
u000565,2026-08-15,android,mid,KR,cross_promo
u000566,2026-08-16,android,mid,KR,tiktok_ads
u000567,2026-09-04,ios,low,JP,google_ads
u000568,2026-08-21,android,mid,US,tiktok_ads
u000569,2026-09-03,android,low,KR,organic
u000570,2026-09-03,android,high,OTHER,organic
u000571,2026-09-02,ios,mid,KR,meta_ads
u000572,2026-08-24,android,high,US,cross_promo
u000573,2026-09-02,android,low,TW,organic
u000574,2026-08-27,android,low,KR,meta_ads
u000575,2026-08-19,android,high,KR,google_ads
u000576,2026-09-01,android,low,TW,meta_ads
u000577,2026-08-18,ios,high,KR,google_ads
u000578,2026-08-27,ios,high,KR,organic
u000579,2026-09-05,ios,high,KR,organic
u000580,2026-08-24,android,mid,KR,tiktok_ads
u000581,2026-08-21,ios,mid,KR,cross_promo
