attempt_id,user_id,session_id,level_id,result,duration_sec,boosters_used,ts
a000000031,u000004,s00000008,8,fail,67,0,2026-08-15 16:07:14
a000000032,u000004,s00000008,8,fail,50,0,2026-08-15 16:09:43
a000000033,u000004,s00000008,8,clear,113,0,2026-08-15 16:12:20
a000000034,u000004,s00000008,9,clear,171,0,2026-08-15 16:14:06
a000000035,u000004,s00000008,10,clear,111,0,2026-08-15 16:15:20
a000000036,u000004,s00000009,11,clear,101,0,2026-08-15 08:29:47
a000000037,u000004,s00000009,12,fail,165,0,2026-08-15 08:31:19
a000000038,u000004,s00000009,12,fail,155,0,2026-08-15 08:32:28
a000000039,u000005,s00000010,1,clear,137,0,2026-09-01 19:29:20
a000000040,u000005,s00000010,2,clear,158,0,2026-09-01 19:31:36
a000000041,u000005,s00000010,3,fail,134,0,2026-09-01 19:34:04
a000000042,u000005,s00000011,3,clear,101,0,2026-09-02 19:15:12
a000000043,u000005,s00000011,4,clear,173,0,2026-09-02 19:16:05
a000000044,u000005,s00000011,5,clear,140,0,2026-09-02 19:17:29
a000000045,u000005,s00000011,6,fail,107,0,2026-09-02 19:18:38
a000000046,u000005,s00000011,6,fail,116,0,2026-09-02 19:20:34
a000000047,u000005,s00000011,6,clear,40,0,2026-09-02 19:21:23
a000000048,u000005,s00000012,7,clear,48,0,2026-09-02 19:16:43
a000000049,u000005,s00000012,8,clear,37,0,2026-09-02 19:19:05
a000000050,u000005,s00000013,9,fail,157,0,2026-09-03 19:57:12
a000000051,u000005,s00000013,9,clear,176,0,2026-09-03 19:58:34
a000000052,u000005,s00000013,10,clear,40,0,2026-09-03 20:01:13
a000000053,u000005,s00000014,11,fail,105,0,2026-09-03 19:33:58
a000000054,u000005,s00000014,11,fail,57,0,2026-09-03 19:35:07
a000000055,u000005,s00000014,11,fail,124,0,2026-09-03 19:36:30
a000000056,u000005,s00000014,11,clear,91,0,2026-09-03 19:38:41
a000000057,u000005,s00000014,12,fail,114,0,2026-09-03 19:40:51
a000000058,u000005,s00000014,12,fail,167,0,2026-09-03 19:43:12
a000000059,u000005,s00000014,12,fail,82,0,2026-09-03 19:45:16
a000000060,u000005,s00000015,12,fail,34,0,2026-09-04 19:02:22
a000000061,u000005,s00000016,12,fail,105,0,2026-09-05 19:15:54
a000000062,u000005,s00000016,12,fail,110,0,2026-09-05 19:17:28
a000000063,u000005,s00000016,12,fail,170,0,2026-09-05 19:19:38
a000000064,u000005,s00000016,12,clear,149,0,2026-09-05 19:22:14
a000000065,u000005,s00000016,13,clear,178,0,2026-09-05 19:23:18
a000000066,u000005,s00000016,14,clear,76,0,2026-09-05 19:24:36
a000000067,u000005,s00000017,15,clear,49,0,2026-09-06 19:41:35
a000000068,u000005,s00000017,16,clear,76,0,2026-09-06 19:43:05
a000000069,u000005,s00000017,17,fail,137,0,2026-09-06 19:43:57
a000000070,u000005,s00000017,17,clear,62,0,2026-09-06 19:45:43
a000000071,u000005,s00000017,18,clear,56,0,2026-09-06 19:48:12
a000000072,u000005,s00000017,19,clear,157,0,2026-09-06 19:49:14
a000000073,u000005,s00000017,20,clear,130,0,2026-09-06 19:50:08
a000000074,u000005,s00000018,21,fail,115,0,2026-09-07 00:17:15
a000000075,u000005,s00000018,21,fail,45,0,2026-09-07 00:19:12
a000000076,u000005,s00000018,21,clear,167,1,2026-09-07 00:20:32
a000000077,u000005,s00000019,22,clear,107,0,2026-09-07 19:33:49
a000000078,u000005,s00000019,23,fail,163,0,2026-09-07 19:36:27
a000000079,u000005,s00000019,23,fail,32,0,2026-09-07 19:37:18
a000000080,u000005,s00000019,23,clear,160,1,2026-09-07 19:39:51
a000000081,u000005,s00000019,24,fail,35,0,2026-09-07 19:42:17
a000000082,u000005,s00000019,24,fail,108,0,2026-09-07 19:44:24
a000000083,u000005,s00000019,24,clear,174,0,2026-09-07 19:45:33
a000000084,u000005,s00000019,25,fail,111,0,2026-09-07 19:47:24
a000000085,u000005,s00000020,25,fail,50,0,2026-09-08 00:21:03
a000000086,u000005,s00000020,25,fail,146,0,2026-09-08 00:22:50
a000000087,u000005,s00000020,25,fail,65,1,2026-09-08 00:24:14
a000000088,u000005,s00000020,25,fail,46,0,2026-09-08 00:25:54
a000000089,u000005,s00000020,25,fail,134,1,2026-09-08 00:28:07
a000000090,u000005,s00000020,25,fail,174,0,2026-09-08 00:29:36
a000000091,u000005,s00000021,25,fail,103,0,2026-09-08 19:43:22
a000000092,u000005,s00000021,25,clear,96,0,2026-09-08 19:45:12
a000000093,u000005,s00000021,26,fail,46,0,2026-09-08 19:46:40
a000000094,u000005,s00000021,26,fail,151,0,2026-09-08 19:49:09
a000000095,u000005,s00000022,26,clear,54,0,2026-09-08 19:51:25
a000000096,u000005,s00000022,27,clear,65,0,2026-09-08 19:53:30
a000000097,u000005,s00000022,28,clear,140,0,2026-09-08 19:55:57
a000000098,u000005,s00000022,29,fail,38,0,2026-09-08 19:57:20
a000000099,u000005,s00000022,29,clear,96,0,2026-09-08 19:58:19
a000000100,u000005,s00000023,30,clear,90,0,2026-09-09 00:16:32
a000000101,u000005,s00000023,31,fail,114,0,2026-09-09 00:17:41
a000000102,u000005,s00000023,31,clear,134,0,2026-09-09 00:19:26
a000000103,u000005,s00000023,32,clear,42,0,2026-09-09 00:20:48
a000000104,u000005,s00000023,33,fail,151,0,2026-09-09 00:21:54
a000000105,u000005,s00000023,33,clear,116,0,2026-09-09 00:24:29
a000000106,u000005,s00000023,34,fail,99,0,2026-09-09 00:25:46
a000000107,u000005,s00000024,34,clear,62,0,2026-09-09 19:31:55
a000000108,u000005,s00000024,35,fail,157,0,2026-09-09 19:33:42
a000000109,u000005,s00000024,35,clear,170,0,2026-09-09 19:35:40
a000000110,u000005,s00000024,36,fail,149,0,2026-09-09 19:38:00
a000000111,u000005,s00000024,36,fail,115,0,2026-09-09 19:38:51
a000000112,u000005,s00000024,36,fail,66,0,2026-09-09 19:41:03
a000000113,u000005,s00000025,36,clear,109,0,2026-09-10 19:08:21
a000000114,u000005,s00000025,37,clear,72,0,2026-09-10 19:09:52
a000000115,u000005,s00000025,38,clear,150,0,2026-09-10 19:11:47
a000000116,u000005,s00000026,39,fail,179,0,2026-09-10 19:42:10
a000000117,u000005,s00000026,39,fail,180,0,2026-09-10 19:43:13
a000000118,u000005,s00000026,39,clear,137,1,2026-09-10 19:44:23
a000000119,u000005,s00000026,40,clear,77,0,2026-09-10 19:45:18
a000000120,u000005,s00000026,41,fail,50,0,2026-09-10 19:47:48
a000000121,u000005,s00000027,41,clear,85,0,2026-09-11 19:58:15
a000000122,u000005,s00000027,42,fail,76,0,2026-09-11 19:59:24
a000000123,u000005,s00000027,42,clear,152,0,2026-09-11 20:00:48
a000000124,u000005,s00000027,43,clear,35,0,2026-09-11 20:01:59
a000000125,u000005,s00000027,44,clear,37,0,2026-09-11 20:02:55
a000000126,u000005,s00000027,45,clear,163,0,2026-09-11 20:05:09
a000000127,u000005,s00000027,46,clear,159,0,2026-09-11 20:07:03
a000000128,u000005,s00000027,47,fail,137,0,2026-09-11 20:08:21
a000000129,u000005,s00000027,47,clear,106,0,2026-09-11 20:10:07
a000000130,u000005,s00000028,48,fail,90,0,2026-09-12 03:33:41
a000000131,u000005,s00000028,48,fail,74,0,2026-09-12 03:35:07
a000000132,u000005,s00000028,48,fail,135,0,2026-09-12 03:36:37
a000000133,u000005,s00000029,48,fail,53,0,2026-09-12 19:53:23
a000000134,u000005,s00000029,48,fail,33,0,2026-09-12 19:55:26
a000000135,u000005,s00000029,48,clear,50,0,2026-09-12 19:56:16
a000000136,u000005,s00000029,49,fail,83,0,2026-09-12 19:57:17
a000000137,u000005,s00000030,49,fail,115,0,2026-09-13 19:58:18
a000000138,u000005,s00000030,49,fail,173,0,2026-09-13 20:00:24
a000000139,u000005,s00000030,49,clear,49,1,2026-09-13 20:02:31
a000000140,u000005,s00000030,50,fail,177,0,2026-09-13 20:04:19
a000000141,u000005,s00000030,50,fail,41,0,2026-09-13 20:06:38
a000000142,u000006,s00000032,1,clear,180,0,2026-08-30 18:43:51
a000000143,u000006,s00000032,2,fail,33,0,2026-08-30 18:45:02
a000000144,u000006,s00000032,2,clear,106,0,2026-08-30 18:47:30
a000000145,u000006,s00000033,3,clear,58,0,2026-08-30 20:21:01
a000000146,u000006,s00000033,4,clear,100,0,2026-08-30 20:22:36
a000000147,u000006,s00000033,5,fail,169,0,2026-08-30 20:23:47
a000000148,u000006,s00000033,5,fail,145,0,2026-08-30 20:24:51
a000000149,u000006,s00000033,5,clear,176,0,2026-08-30 20:26:57
a000000150,u000006,s00000033,6,fail,165,0,2026-08-30 20:28:58
a000000151,u000007,s00000034,1,clear,81,0,2026-08-31 08:03:44
a000000152,u000008,s00000035,1,clear,55,0,2026-08-16 11:14:32
a000000153,u000008,s00000035,2,clear,121,0,2026-08-16 11:16:55
a000000154,u000008,s00000035,3,clear,81,0,2026-08-16 11:18:21
a000000155,u000008,s00000035,4,clear,94,0,2026-08-16 11:20:03
a000000156,u000008,s00000036,5,clear,75,0,2026-08-16 13:20:20
a000000157,u000008,s00000036,6,fail,101,0,2026-08-16 13:22:17
a000000158,u000008,s00000037,6,clear,56,0,2026-08-17 11:22:46
a000000159,u000008,s00000037,7,fail,141,0,2026-08-17 11:24:15
a000000160,u000008,s00000037,7,fail,136,0,2026-08-17 11:25:39
a000000161,u000008,s00000037,7,clear,106,1,2026-08-17 11:26:56
a000000162,u000008,s00000037,8,clear,111,0,2026-08-17 11:28:47
a000000163,u000008,s00000038,9,fail,37,0,2026-08-17 11:40:32
a000000164,u000008,s00000038,9,clear,63,0,2026-08-17 11:42:14
a000000165,u000008,s00000038,10,clear,78,0,2026-08-17 11:43:55
a000000166,u000008,s00000038,11,fail,138,0,2026-08-17 11:45:58
a000000167,u000008,s00000038,11,fail,141,0,2026-08-17 11:48:38
a000000168,u000008,s00000038,11,fail,89,1,2026-08-17 11:49:32
a000000169,u000008,s00000038,11,clear,78,1,2026-08-17 11:50:36
a000000170,u000008,s00000039,12,fail,157,0,2026-08-18 11:22:40
a000000171,u000008,s00000039,12,fail,172,0,2026-08-18 11:23:49
a000000172,u000008,s00000040,12,fail,43,0,2026-08-18 19:32:29
a000000173,u000008,s00000040,12,fail,174,0,2026-08-18 19:34:47
a000000174,u000008,s00000041,12,fail,148,0,2026-08-19 11:58:35
a000000175,u000008,s00000041,12,fail,134,0,2026-08-19 11:59:54
a000000176,u000008,s00000041,12,fail,79,1,2026-08-19 12:01:38
a000000177,u000008,s00000042,12,fail,157,0,2026-08-20 11:27:40
a000000178,u000008,s00000042,12,fail,72,0,2026-08-20 11:29:24
a000000179,u000008,s00000042,12,fail,104,0,2026-08-20 11:30:41
a000000180,u000008,s00000043,12,fail,35,0,2026-08-21 11:10:20
a000000181,u000008,s00000043,12,fail,141,0,2026-08-21 11:11:46
a000000182,u000008,s00000043,12,fail,145,0,2026-08-21 11:13:23
a000000183,u000008,s00000043,12,fail,153,0,2026-08-21 11:15:59
a000000184,u000008,s00000043,12,clear,153,0,2026-08-21 11:17:13
a000000185,u000008,s00000043,13,clear,149,0,2026-08-21 11:18:30
a000000186,u000008,s00000044,14,fail,103,0,2026-08-22 11:42:57
a000000187,u000008,s00000044,14,clear,57,0,2026-08-22 11:45:20
a000000188,u000008,s00000044,15,clear,124,0,2026-08-22 11:46:21
a000000189,u000008,s00000044,16,fail,60,0,2026-08-22 11:48:00
a000000190,u000008,s00000044,16,clear,163,0,2026-08-22 11:50:11
a000000191,u000008,s00000044,17,clear,150,0,2026-08-22 11:52:15
a000000192,u000008,s00000044,18,fail,38,0,2026-08-22 11:53:25
a000000193,u000008,s00000045,18,fail,86,0,2026-08-23 11:19:40
a000000194,u000008,s00000046,18,clear,67,0,2026-08-23 20:00:09
a000000195,u000008,s00000046,19,clear,156,0,2026-08-23 20:01:32
a000000196,u000008,s00000046,20,clear,133,0,2026-08-23 20:03:44
a000000197,u000008,s00000047,21,clear,94,0,2026-08-23 22:27:21
a000000198,u000008,s00000047,22,fail,141,0,2026-08-23 22:28:52
a000000199,u000008,s00000047,22,fail,32,0,2026-08-23 22:29:57
a000000200,u000008,s00000047,22,clear,174,0,2026-08-23 22:32:28
a000000201,u000008,s00000048,23,fail,136,0,2026-08-24 11:42:15
a000000202,u000008,s00000048,23,fail,51,0,2026-08-24 11:44:36
a000000203,u000008,s00000048,23,clear,165,0,2026-08-24 11:45:48
a000000204,u000008,s00000048,24,fail,33,0,2026-08-24 11:48:09
a000000205,u000008,s00000049,24,clear,80,0,2026-08-24 13:48:44
a000000206,u000008,s00000049,25,fail,48,0,2026-08-24 13:50:28
a000000207,u000008,s00000050,25,clear,77,0,2026-08-25 11:56:22
a000000208,u000008,s00000050,26,fail,87,0,2026-08-25 11:58:34
a000000209,u000008,s00000050,26,fail,86,0,2026-08-25 12:00:34
a000000210,u000008,s00000050,26,clear,124,1,2026-08-25 12:02:07
a000000211,u000008,s00000050,27,fail,40,0,2026-08-25 12:04:17
a000000212,u000008,s00000051,27,fail,37,0,2026-08-25 11:25:27
a000000213,u000008,s00000051,27,clear,75,0,2026-08-25 11:27:52
a000000214,u000008,s00000051,28,clear,87,0,2026-08-25 11:28:58
a000000215,u000008,s00000052,29,clear,101,0,2026-08-26 11:15:19
a000000216,u000008,s00000052,30,clear,63,0,2026-08-26 11:17:30
a000000217,u000008,s00000052,31,clear,153,0,2026-08-26 11:19:35
a000000218,u000008,s00000052,32,clear,72,0,2026-08-26 11:20:42
a000000219,u000008,s00000052,33,fail,145,0,2026-08-26 11:22:13
a000000220,u000008,s00000052,33,clear,53,0,2026-08-26 11:23:39
a000000221,u000008,s00000052,34,clear,98,0,2026-08-26 11:24:26
a000000222,u000008,s00000052,35,clear,154,0,2026-08-26 11:26:09
a000000223,u000008,s00000052,36,fail,152,0,2026-08-26 11:28:39
a000000224,u000008,s00000053,36,fail,103,0,2026-08-26 13:18:35
a000000225,u000008,s00000053,36,fail,37,0,2026-08-26 13:20:19
a000000226,u000008,s00000053,36,clear,66,0,2026-08-26 13:22:10
a000000227,u000008,s00000053,37,fail,53,0,2026-08-26 13:23:05
a000000228,u000008,s00000053,37,fail,136,0,2026-08-26 13:25:22
a000000229,u000008,s00000053,37,fail,150,0,2026-08-26 13:27:46
a000000230,u000008,s00000054,37,clear,94,0,2026-08-27 11:51:42
a000000231,u000008,s00000054,38,fail,171,0,2026-08-27 11:52:51
a000000232,u000008,s00000054,38,clear,50,0,2026-08-27 11:55:02
a000000233,u000008,s00000054,39,clear,178,0,2026-08-27 11:57:08
a000000234,u000008,s00000054,40,clear,60,0,2026-08-27 11:58:17
a000000235,u000008,s00000054,41,fail,121,0,2026-08-27 12:00:56
a000000236,u000008,s00000054,41,clear,31,0,2026-08-27 12:02:22
a000000237,u000008,s00000055,42,fail,82,0,2026-08-27 16:52:01
a000000238,u000008,s00000055,42,clear,44,0,2026-08-27 16:52:54
a000000239,u000008,s00000055,43,fail,71,0,2026-08-27 16:54:24
a000000240,u000008,s00000055,43,fail,163,0,2026-08-27 16:55:52
a000000241,u000008,s00000055,43,clear,111,1,2026-08-27 16:57:20
a000000242,u000008,s00000055,44,fail,95,0,2026-08-27 16:59:49
a000000243,u000008,s00000055,44,fail,36,0,2026-08-27 17:00:55
a000000244,u000008,s00000055,44,clear,141,0,2026-08-27 17:01:57
a000000245,u000008,s00000056,45,fail,159,0,2026-08-28 11:56:36
a000000246,u000008,s00000056,45,fail,79,0,2026-08-28 11:58:53
a000000247,u000008,s00000056,45,fail,166,0,2026-08-28 12:00:01
a000000248,u000008,s00000056,45,fail,50,0,2026-08-28 12:02:05
a000000249,u000008,s00000056,45,fail,36,0,2026-08-28 12:03:07
a000000250,u000008,s00000056,45,fail,78,0,2026-08-28 12:05:28
a000000251,u000008,s00000057,45,clear,138,0,2026-08-28 13:13:29
a000000252,u000008,s00000057,46,clear,43,0,2026-08-28 13:14:15
a000000253,u000008,s00000057,47,fail,51,0,2026-08-28 13:15:20
a000000254,u000008,s00000057,47,fail,177,0,2026-08-28 13:17:28
a000000255,u000008,s00000057,47,fail,58,1,2026-08-28 13:19:16
a000000256,u000008,s00000058,47,fail,165,0,2026-08-29 11:34:13
a000000257,u000008,s00000058,47,fail,162,0,2026-08-29 11:35:57
a000000258,u000008,s00000058,47,fail,80,0,2026-08-29 11:37:31
a000000259,u000008,s00000058,47,fail,135,0,2026-08-29 11:38:39
a000000260,u000008,s00000058,47,clear,98,1,2026-08-29 11:41:17
a000000261,u000008,s00000058,48,fail,149,0,2026-08-29 11:43:46
a000000262,u000008,s00000059,48,fail,48,0,2026-08-30 11:54:11
a000000263,u000008,s00000059,48,fail,176,0,2026-08-30 11:56:06
a000000264,u000008,s00000059,48,fail,71,0,2026-08-30 11:58:34
a000000265,u000008,s00000059,48,fail,95,0,2026-08-30 12:00:59
a000000266,u000008,s00000060,48,fail,120,0,2026-08-30 16:02:49
a000000267,u000008,s00000060,48,fail,156,0,2026-08-30 16:04:41
a000000268,u000008,s00000060,48,fail,60,0,2026-08-30 16:07:11
a000000269,u000008,s00000060,48,fail,80,0,2026-08-30 16:09:13
a000000270,u000008,s00000060,48,clear,180,1,2026-08-30 16:11:21
a000000271,u000008,s00000060,49,clear,106,0,2026-08-30 16:12:51
a000000272,u000008,s00000060,50,clear,174,0,2026-08-30 16:13:58
a000000273,u000008,s00000061,51,fail,32,0,2026-08-30 11:12:16
a000000274,u000008,s00000061,51,clear,39,0,2026-08-30 11:14:49
a000000275,u000008,s00000061,52,clear,168,0,2026-08-30 11:17:09
a000000276,u000008,s00000062,53,clear,72,0,2026-08-31 11:50:54
a000000277,u000008,s00000062,54,clear,100,0,2026-08-31 11:52:46
a000000278,u000008,s00000062,55,fail,122,0,2026-08-31 11:53:36
a000000279,u000008,s00000063,55,fail,75,0,2026-08-31 11:12:43
a000000280,u000008,s00000063,55,fail,119,0,2026-08-31 11:13:56
a000000281,u000008,s00000063,55,fail,108,0,2026-08-31 11:15:59
a000000282,u000008,s00000063,55,fail,167,0,2026-08-31 11:17:08
a000000283,u000008,s00000063,55,fail,102,0,2026-08-31 11:18:10
a000000284,u000008,s00000064,55,clear,178,0,2026-08-31 19:21:37
a000000285,u000008,s00000064,56,fail,119,0,2026-08-31 19:23:03
a000000286,u000008,s00000064,56,fail,117,0,2026-08-31 19:25:13
a000000287,u000008,s00000064,56,fail,135,0,2026-08-31 19:26:06
a000000288,u000008,s00000064,56,fail,129,0,2026-08-31 19:28:10
a000000289,u000008,s00000064,56,fail,144,0,2026-08-31 19:30:15
a000000290,u000008,s00000064,56,fail,41,1,2026-08-31 19:31:15
a000000291,u000008,s00000064,56,fail,37,0,2026-08-31 19:33:44
a000000292,u000008,s00000064,56,clear,137,1,2026-08-31 19:35:48
a000000293,u000008,s00000064,57,fail,33,0,2026-08-31 19:38:25
a000000294,u000008,s00000065,57,fail,157,0,2026-09-01 11:27:50
a000000295,u000008,s00000065,57,fail,112,0,2026-09-01 11:29:57
a000000296,u000008,s00000065,57,fail,141,0,2026-09-01 11:32:32
a000000297,u000008,s00000065,57,clear,30,0,2026-09-01 11:33:34
a000000298,u000008,s00000065,58,clear,142,0,2026-09-01 11:34:21
a000000299,u000008,s00000065,59,fail,85,0,2026-09-01 11:36:34
a000000300,u000008,s00000065,59,fail,134,0,2026-09-01 11:38:03
a000000301,u000008,s00000065,59,fail,34,1,2026-09-01 11:40:16
a000000302,u000008,s00000065,59,fail,115,1,2026-09-01 11:41:26
a000000303,u000008,s00000065,59,clear,87,0,2026-09-01 11:42:12
a000000304,u000008,s00000066,60,clear,58,0,2026-09-02 11:29:27
a000000305,u000008,s00000066,61,fail,152,0,2026-09-02 11:32:05
a000000306,u000008,s00000066,61,fail,69,0,2026-09-02 11:33:28
a000000307,u000008,s00000066,61,clear,70,1,2026-09-02 11:34:49
a000000308,u000008,s00000066,62,clear,110,0,2026-09-02 11:36:17
a000000309,u000008,s00000067,63,clear,57,0,2026-09-02 19:23:01
a000000310,u000008,s00000067,64,fail,142,0,2026-09-02 19:25:24
a000000311,u000008,s00000067,64,fail,48,0,2026-09-02 19:27:27
a000000312,u000008,s00000067,64,clear,108,0,2026-09-02 19:29:59
a000000313,u000008,s00000067,65,fail,136,0,2026-09-02 19:31:56
a000000314,u000008,s00000068,65,fail,73,0,2026-09-03 11:01:17
a000000315,u000008,s00000068,65,fail,111,0,2026-09-03 11:03:37
a000000316,u000008,s00000068,65,fail,110,0,2026-09-03 11:05:08
a000000317,u000008,s00000068,65,clear,98,1,2026-09-03 11:07:13
a000000318,u000008,s00000068,66,fail,134,0,2026-09-03 11:09:26
a000000319,u000008,s00000068,66,fail,82,0,2026-09-03 11:11:24
a000000320,u000008,s00000068,66,clear,112,1,2026-09-03 11:12:22
a000000321,u000008,s00000069,67,clear,132,0,2026-09-03 19:19:18
a000000322,u000008,s00000069,68,fail,112,0,2026-09-03 19:20:48
a000000323,u000008,s00000069,68,clear,108,0,2026-09-03 19:22:24
a000000324,u000008,s00000070,69,fail,169,0,2026-09-04 11:53:19
a000000325,u000008,s00000070,69,fail,158,0,2026-09-04 11:54:17
a000000326,u000008,s00000070,69,fail,135,1,2026-09-04 11:55:35
a000000327,u000008,s00000070,69,fail,72,1,2026-09-04 11:56:32
a000000328,u000008,s00000070,69,fail,60,0,2026-09-04 11:58:22
a000000329,u000008,s00000071,69,clear,163,0,2026-09-04 22:10:18
a000000330,u000008,s00000071,70,fail,171,0,2026-09-04 22:11:15
a000000331,u000008,s00000071,70,fail,34,0,2026-09-04 22:12:56
a000000332,u000008,s00000071,70,fail,82,1,2026-09-04 22:15:27
a000000333,u000008,s00000071,70,fail,59,1,2026-09-04 22:17:14
a000000334,u000008,s00000072,70,fail,59,0,2026-09-05 11:03:24
a000000335,u000008,s00000072,70,clear,83,0,2026-09-05 11:04:15
a000000336,u000008,s00000072,71,fail,38,0,2026-09-05 11:05:42
a000000337,u000008,s00000072,71,clear,145,0,2026-09-05 11:07:04
a000000338,u000008,s00000072,72,clear,144,0,2026-09-05 11:08:48
a000000339,u000008,s00000072,73,fail,78,0,2026-09-05 11:10:02
a000000340,u000008,s00000072,73,fail,139,0,2026-09-05 11:11:52
a000000341,u000008,s00000072,73,clear,57,0,2026-09-05 11:13:41
a000000342,u000008,s00000072,74,clear,130,0,2026-09-05 11:15:47
a000000343,u000008,s00000072,75,clear,143,0,2026-09-05 11:16:32
a000000344,u000008,s00000073,76,fail,115,0,2026-09-06 11:56:19
a000000345,u000008,s00000073,76,fail,165,0,2026-09-06 11:58:01
a000000346,u000008,s00000073,76,fail,142,0,2026-09-06 12:00:27
a000000347,u000008,s00000073,76,fail,167,0,2026-09-06 12:03:02
a000000348,u000008,s00000073,76,clear,144,0,2026-09-06 12:05:28
a000000349,u000008,s00000073,77,clear,149,0,2026-09-06 12:06:16
a000000350,u000008,s00000073,78,fail,69,0,2026-09-06 12:07:20
a000000351,u000008,s00000073,78,fail,149,0,2026-09-06 12:09:03
a000000352,u000008,s00000073,78,clear,125,0,2026-09-06 12:10:56
a000000353,u000008,s00000074,79,clear,171,0,2026-09-07 11:40:49
a000000354,u000008,s00000074,80,fail,126,0,2026-09-07 11:42:13
a000000355,u000008,s00000074,80,clear,42,0,2026-09-07 11:43:46
a000000356,u000008,s00000074,81,fail,176,0,2026-09-07 11:44:58
a000000357,u000008,s00000074,81,fail,179,0,2026-09-07 11:46:25
a000000358,u000008,s00000074,81,clear,120,0,2026-09-07 11:47:50
a000000359,u000008,s00000074,82,fail,164,0,2026-09-07 11:49:06
a000000360,u000008,s00000075,82,fail,147,0,2026-09-07 16:43:22
a000000361,u000008,s00000075,82,fail,45,0,2026-09-07 16:45:52
a000000362,u000008,s00000075,82,clear,164,0,2026-09-07 16:48:21
a000000363,u000008,s00000075,83,fail,71,0,2026-09-07 16:50:39
a000000364,u000008,s00000075,83,clear,170,0,2026-09-07 16:53:05
a000000365,u000008,s00000076,84,clear,171,0,2026-09-07 11:35:18
a000000366,u000008,s00000076,85,fail,173,0,2026-09-07 11:36:52
a000000367,u000008,s00000076,85,fail,155,0,2026-09-07 11:37:45
a000000368,u000008,s00000076,85,fail,93,0,2026-09-07 11:40:19
a000000369,u000008,s00000076,85,clear,143,1,2026-09-07 11:41:56
a000000370,u000008,s00000076,86,fail,164,0,2026-09-07 11:43:02
a000000371,u000008,s00000076,86,fail,74,0,2026-09-07 11:45:38
a000000372,u000008,s00000076,86,fail,30,0,2026-09-07 11:47:43
a000000373,u000008,s00000076,86,fail,109,1,2026-09-07 11:49:20
a000000374,u000008,s00000076,86,clear,57,0,2026-09-07 11:51:01
a000000375,u000008,s00000077,87,fail,41,0,2026-09-08 11:51:36
a000000376,u000008,s00000077,87,fail,163,0,2026-09-08 11:53:03
a000000377,u000008,s00000077,87,fail,127,0,2026-09-08 11:54:46
a000000378,u000008,s00000077,87,clear,125,1,2026-09-08 11:56:51
a000000379,u000008,s00000077,88,fail,119,0,2026-09-08 11:57:56
a000000380,u000008,s00000077,88,clear,135,0,2026-09-08 11:59:04
a000000381,u000008,s00000077,89,clear,107,0,2026-09-08 12:00:43
a000000382,u000008,s00000078,90,clear,110,0,2026-09-09 11:29:25
a000000383,u000008,s00000078,91,clear,105,0,2026-09-09 11:31:34
a000000384,u000008,s00000078,92,fail,74,0,2026-09-09 11:32:21
a000000385,u000008,s00000078,92,fail,40,0,2026-09-09 11:33:53
a000000386,u000008,s00000078,92,fail,36,1,2026-09-09 11:36:31
