ad_view_id,user_id,placement,ts,reward_claimed
ad000000162,u000030,post_fail_reward,2026-08-28 19:41:23,1
ad000000163,u000030,post_fail_reward,2026-08-28 21:15:05,1
ad000000164,u000032,post_fail_reward,2026-09-06 23:06:52,1
ad000000165,u000032,post_fail_reward,2026-09-06 23:09:13,1
ad000000166,u000033,post_fail_reward,2026-09-01 13:52:20,1
ad000000167,u000033,post_fail_reward,2026-09-01 13:03:45,1
ad000000168,u000039,post_fail_reward,2026-09-03 22:04:21,1
ad000000169,u000041,post_fail_reward,2026-08-24 20:53:23,1
ad000000170,u000043,post_fail_reward,2026-09-09 09:33:19,1
ad000000171,u000043,post_fail_reward,2026-09-09 17:32:35,1
ad000000172,u000044,post_fail_reward,2026-08-22 12:58:31,1
ad000000173,u000046,post_fail_reward,2026-09-01 00:26:15,1
ad000000174,u000046,post_fail_reward,2026-09-02 13:41:46,1
ad000000175,u000046,post_fail_reward,2026-09-03 18:44:53,1
ad000000176,u000046,post_fail_reward,2026-09-03 18:46:27,1
ad000000177,u000046,post_fail_reward,2026-09-03 18:48:43,1
ad000000178,u000046,post_fail_reward,2026-09-03 18:50:59,1
ad000000179,u000046,post_fail_reward,2026-09-03 13:46:45,1
ad000000180,u000046,post_fail_reward,2026-09-03 13:47:45,1
ad000000181,u000046,post_fail_reward,2026-09-04 13:51:40,0
ad000000182,u000046,post_fail_reward,2026-09-05 00:10:35,0
ad000000183,u000046,post_fail_reward,2026-09-05 00:11:43,1
ad000000184,u000046,post_fail_reward,2026-09-05 00:36:17,1
ad000000185,u000046,post_fail_reward,2026-09-05 00:40:14,1
ad000000186,u000046,post_fail_reward,2026-09-05 13:14:15,1
ad000000187,u000046,post_fail_reward,2026-09-06 13:36:47,1
ad000000188,u000046,post_fail_reward,2026-09-06 21:14:28,0
ad000000189,u000046,post_fail_reward,2026-09-06 21:15:15,1
ad000000190,u000046,post_fail_reward,2026-09-06 21:17:11,1
ad000000191,u000046,post_fail_reward,2026-09-07 13:17:54,1
ad000000192,u000046,post_fail_reward,2026-09-08 13:14:35,1
ad000000193,u000046,post_fail_reward,2026-09-08 13:17:08,0
ad000000194,u000047,post_fail_reward,2026-08-23 17:09:36,1
ad000000195,u000049,post_fail_reward,2026-09-01 17:02:59,1
ad000000196,u000049,post_fail_reward,2026-09-01 17:04:31,1
ad000000197,u000049,post_fail_reward,2026-09-01 17:05:17,1
ad000000198,u000049,post_fail_reward,2026-09-01 16:07:17,1
ad000000199,u000049,post_fail_reward,2026-09-03 16:16:25,0
ad000000200,u000049,post_fail_reward,2026-09-03 16:21:39,1
ad000000201,u000049,post_fail_reward,2026-09-03 16:27:59,1
ad000000202,u000049,post_fail_reward,2026-09-03 16:30:48,1
ad000000203,u000049,post_fail_reward,2026-09-03 16:34:36,0
ad000000204,u000049,post_fail_reward,2026-09-04 16:29:51,1
ad000000205,u000050,post_fail_reward,2026-09-02 16:09:52,1
ad000000206,u000051,post_fail_reward,2026-08-23 19:47:47,1
ad000000207,u000051,post_fail_reward,2026-08-23 19:48:59,1
ad000000208,u000051,post_fail_reward,2026-08-25 19:35:23,1
ad000000209,u000051,post_fail_reward,2026-08-26 00:52:20,1
ad000000210,u000051,post_fail_reward,2026-08-26 19:25:42,1
ad000000211,u000051,post_fail_reward,2026-08-26 19:39:59,0
ad000000212,u000051,post_fail_reward,2026-08-27 19:48:24,1
ad000000213,u000051,post_fail_reward,2026-08-27 19:49:56,1
ad000000214,u000051,post_fail_reward,2026-08-27 19:52:18,1
ad000000215,u000052,post_fail_reward,2026-09-02 20:49:06,1
ad000000216,u000055,post_fail_reward,2026-08-17 20:54:03,1
ad000000217,u000055,post_fail_reward,2026-08-18 09:53:17,1
ad000000218,u000055,post_fail_reward,2026-08-18 17:50:49,1
ad000000219,u000055,post_fail_reward,2026-08-19 09:48:01,0
ad000000220,u000055,post_fail_reward,2026-08-19 20:59:44,1
ad000000221,u000055,post_fail_reward,2026-08-19 21:07:01,0
ad000000222,u000055,post_fail_reward,2026-08-19 11:47:09,1
ad000000223,u000055,post_fail_reward,2026-08-19 17:25:03,0
ad000000224,u000055,post_fail_reward,2026-08-20 09:48:57,1
ad000000225,u000055,post_fail_reward,2026-08-20 17:39:11,0
ad000000226,u000055,post_fail_reward,2026-08-21 09:24:36,1
ad000000227,u000055,post_fail_reward,2026-08-21 14:34:33,1
ad000000228,u000055,post_fail_reward,2026-08-22 09:42:39,1
ad000000229,u000055,post_fail_reward,2026-08-23 09:19:54,1
ad000000230,u000055,post_fail_reward,2026-08-23 09:26:19,1
ad000000231,u000055,post_fail_reward,2026-08-23 09:09:30,0
ad000000232,u000055,post_fail_reward,2026-08-23 09:13:32,1
ad000000233,u000055,post_fail_reward,2026-08-24 09:19:22,1
ad000000234,u000055,post_fail_reward,2026-08-26 09:14:34,1
ad000000235,u000055,post_fail_reward,2026-08-26 09:16:41,0
ad000000236,u000055,post_fail_reward,2026-08-27 09:39:48,1
ad000000237,u000055,post_fail_reward,2026-08-27 17:11:46,1
ad000000238,u000055,post_fail_reward,2026-08-28 09:04:13,1
ad000000239,u000055,post_fail_reward,2026-08-28 09:05:47,1
ad000000240,u000055,post_fail_reward,2026-08-28 09:08:13,1
ad000000241,u000055,post_fail_reward,2026-08-28 14:36:17,0
ad000000242,u000055,post_fail_reward,2026-08-28 14:47:50,1
ad000000243,u000055,post_fail_reward,2026-08-29 09:11:11,1
ad000000244,u000055,post_fail_reward,2026-08-29 09:13:06,1
ad000000245,u000055,post_fail_reward,2026-08-29 20:48:08,0
ad000000246,u000055,post_fail_reward,2026-08-29 17:23:54,0
ad000000247,u000055,post_fail_reward,2026-08-29 17:35:11,1
ad000000248,u000055,post_fail_reward,2026-08-30 09:31:36,1
ad000000249,u000055,post_fail_reward,2026-08-30 09:33:38,1
ad000000250,u000055,post_fail_reward,2026-08-30 09:35:45,1
ad000000251,u000055,post_fail_reward,2026-08-30 09:40:10,1
ad000000252,u000055,post_fail_reward,2026-08-30 09:46:02,1
ad000000253,u000055,post_fail_reward,2026-08-30 17:30:59,1
ad000000254,u000055,post_fail_reward,2026-08-30 17:32:34,1
ad000000255,u000055,post_fail_reward,2026-08-31 14:42:09,1
ad000000256,u000055,post_fail_reward,2026-08-31 14:44:32,1
ad000000257,u000055,post_fail_reward,2026-08-31 14:45:51,1
ad000000258,u000055,post_fail_reward,2026-08-31 14:49:51,1
ad000000259,u000055,post_fail_reward,2026-08-31 14:50:36,0
ad000000260,u000055,post_fail_reward,2026-09-01 09:34:52,1
ad000000261,u000055,post_fail_reward,2026-09-01 09:36:16,1
ad000000262,u000055,post_fail_reward,2026-09-01 09:40:27,1
ad000000263,u000055,post_fail_reward,2026-09-01 17:09:41,1
ad000000264,u000055,post_fail_reward,2026-09-01 17:13:46,1
ad000000265,u000055,post_fail_reward,2026-09-02 09:58:13,1
ad000000266,u000055,post_fail_reward,2026-09-02 14:09:00,1
ad000000267,u000055,post_fail_reward,2026-09-02 14:13:22,1
ad000000268,u000055,post_fail_reward,2026-09-02 17:37:24,1
ad000000269,u000055,post_fail_reward,2026-09-02 17:39:55,1
ad000000270,u000055,post_fail_reward,2026-09-03 09:27:16,1
ad000000271,u000055,post_fail_reward,2026-09-03 09:33:08,1
ad000000272,u000055,post_fail_reward,2026-09-03 09:34:54,1
ad000000273,u000055,post_fail_reward,2026-09-04 09:30:56,1
ad000000274,u000055,post_fail_reward,2026-09-04 09:34:01,1
ad000000275,u000055,post_fail_reward,2026-09-05 14:46:50,1
ad000000276,u000055,post_fail_reward,2026-09-05 14:48:54,1
ad000000277,u000055,post_fail_reward,2026-09-05 14:52:38,1
ad000000278,u000055,post_fail_reward,2026-09-05 10:01:23,1
ad000000279,u000055,post_fail_reward,2026-09-05 10:02:59,1
ad000000280,u000055,post_fail_reward,2026-09-06 09:45:44,1
ad000000281,u000055,post_fail_reward,2026-09-06 09:46:41,1
ad000000282,u000055,post_fail_reward,2026-09-07 11:57:29,1
ad000000283,u000055,post_fail_reward,2026-09-07 17:19:03,1
ad000000284,u000055,post_fail_reward,2026-09-08 10:00:34,1
ad000000285,u000055,post_fail_reward,2026-09-08 10:01:55,0
ad000000286,u000055,post_fail_reward,2026-09-08 10:08:03,0
ad000000287,u000055,post_fail_reward,2026-09-08 17:24:12,1
ad000000288,u000055,post_fail_reward,2026-09-09 09:31:04,1
ad000000289,u000055,post_fail_reward,2026-09-11 09:25:17,1
ad000000290,u000055,post_fail_reward,2026-09-11 09:29:52,1
ad000000291,u000055,post_fail_reward,2026-09-13 14:11:14,1
ad000000292,u000059,post_fail_reward,2026-08-28 13:42:54,1
ad000000293,u000059,post_fail_reward,2026-08-28 13:46:11,1
ad000000294,u000060,post_fail_reward,2026-08-17 17:03:34,1
ad000000295,u000060,post_fail_reward,2026-08-18 17:02:57,1
ad000000296,u000061,post_fail_reward,2026-08-28 10:11:38,1
ad000000297,u000061,post_fail_reward,2026-08-28 15:46:33,0
ad000000298,u000061,post_fail_reward,2026-08-29 12:21:03,1
ad000000299,u000061,post_fail_reward,2026-08-30 10:21:28,1
ad000000300,u000061,post_fail_reward,2026-08-30 10:25:52,1
ad000000301,u000062,post_fail_reward,2026-08-30 09:36:50,1
ad000000302,u000062,post_fail_reward,2026-08-30 20:22:41,1
ad000000303,u000062,post_fail_reward,2026-08-30 09:52:37,1
ad000000304,u000062,post_fail_reward,2026-08-30 09:58:12,0
ad000000305,u000062,post_fail_reward,2026-08-30 10:02:40,1
ad000000306,u000062,post_fail_reward,2026-09-01 09:14:04,1
ad000000307,u000062,post_fail_reward,2026-09-01 14:45:14,1
ad000000308,u000062,post_fail_reward,2026-09-01 14:48:31,1
ad000000309,u000063,post_fail_reward,2026-09-06 08:06:25,1
ad000000310,u000065,post_fail_reward,2026-08-21 07:33:15,1
ad000000311,u000066,post_fail_reward,2026-08-26 21:21:21,1
ad000000312,u000066,post_fail_reward,2026-08-26 21:25:04,1
ad000000313,u000066,post_fail_reward,2026-08-26 21:26:29,1
ad000000314,u000066,post_fail_reward,2026-08-26 21:27:55,1
ad000000315,u000066,post_fail_reward,2026-08-27 21:05:40,1
ad000000316,u000068,post_fail_reward,2026-09-04 02:23:34,1
ad000000317,u000068,post_fail_reward,2026-09-04 19:03:13,1
ad000000318,u000068,post_fail_reward,2026-09-04 18:46:35,1
ad000000319,u000068,post_fail_reward,2026-09-05 18:39:18,1
ad000000320,u000068,post_fail_reward,2026-09-05 18:48:16,1
ad000000321,u000068,post_fail_reward,2026-09-06 18:07:21,1
ad000000322,u000069,post_fail_reward,2026-08-31 18:15:15,1
ad000000323,u000069,post_fail_reward,2026-09-01 13:47:00,1
ad000000324,u000069,post_fail_reward,2026-09-01 15:26:41,1
ad000000325,u000069,post_fail_reward,2026-09-01 15:27:58,1
ad000000326,u000069,post_fail_reward,2026-09-02 13:17:30,1
ad000000327,u000070,post_fail_reward,2026-08-28 18:41:21,1
ad000000328,u000070,post_fail_reward,2026-08-29 02:43:55,1
ad000000329,u000070,post_fail_reward,2026-08-31 18:41:56,1
ad000000330,u000070,post_fail_reward,2026-08-31 18:08:09,1
ad000000331,u000071,post_fail_reward,2026-09-01 09:28:57,1
ad000000332,u000071,post_fail_reward,2026-09-02 09:27:24,1
ad000000333,u000071,post_fail_reward,2026-09-02 09:31:40,1
ad000000334,u000071,post_fail_reward,2026-09-02 15:04:23,1
ad000000335,u000071,post_fail_reward,2026-09-03 09:33:14,1
ad000000336,u000071,post_fail_reward,2026-09-03 09:35:42,1
ad000000337,u000071,post_fail_reward,2026-09-03 17:09:45,1
ad000000338,u000073,post_fail_reward,2026-08-24 18:41:20,1
ad000000339,u000073,post_fail_reward,2026-08-26 20:36:54,1
ad000000340,u000073,post_fail_reward,2026-08-27 02:21:29,1
ad000000341,u000073,post_fail_reward,2026-08-27 18:07:38,0
ad000000342,u000074,post_fail_reward,2026-09-05 18:39:57,1
ad000000343,u000074,post_fail_reward,2026-09-05 18:41:33,1
ad000000344,u000074,post_fail_reward,2026-09-05 20:27:32,1
ad000000345,u000074,post_fail_reward,2026-09-05 20:48:56,1
ad000000346,u000074,post_fail_reward,2026-09-05 20:53:40,1
ad000000347,u000074,post_fail_reward,2026-09-05 20:55:41,1
ad000000348,u000074,post_fail_reward,2026-09-05 21:02:54,1
ad000000349,u000075,post_fail_reward,2026-08-20 15:00:05,1
ad000000350,u000075,post_fail_reward,2026-08-20 15:06:43,1
ad000000351,u000075,post_fail_reward,2026-08-20 11:56:50,1
ad000000352,u000075,post_fail_reward,2026-08-20 12:02:02,0
ad000000353,u000075,post_fail_reward,2026-08-20 12:03:28,1
ad000000354,u000075,post_fail_reward,2026-08-20 12:06:55,1
ad000000355,u000075,post_fail_reward,2026-08-20 12:09:04,1
ad000000356,u000075,post_fail_reward,2026-08-21 09:56:41,1
ad000000357,u000075,post_fail_reward,2026-08-21 17:55:56,0
ad000000358,u000075,post_fail_reward,2026-08-21 17:59:23,1
ad000000359,u000075,post_fail_reward,2026-08-22 09:56:31,1
ad000000360,u000075,post_fail_reward,2026-08-22 10:02:41,1
ad000000361,u000075,post_fail_reward,2026-08-22 10:07:57,1
ad000000362,u000075,post_fail_reward,2026-08-22 14:52:13,1
ad000000363,u000075,post_fail_reward,2026-08-23 09:09:25,1
ad000000364,u000075,post_fail_reward,2026-08-23 11:46:48,1
ad000000365,u000075,post_fail_reward,2026-08-24 11:12:06,1
ad000000366,u000075,post_fail_reward,2026-08-24 11:14:04,1
ad000000367,u000075,post_fail_reward,2026-08-24 11:58:53,0
ad000000368,u000076,post_fail_reward,2026-08-15 16:20:52,0
ad000000369,u000076,post_fail_reward,2026-08-16 03:46:02,1
ad000000370,u000077,post_fail_reward,2026-08-24 14:37:47,1
ad000000371,u000077,post_fail_reward,2026-08-24 14:42:06,1
ad000000372,u000077,post_fail_reward,2026-08-25 01:46:34,1
ad000000373,u000077,post_fail_reward,2026-08-25 14:51:50,1
ad000000374,u000078,post_fail_reward,2026-09-06 21:35:08,1
ad000000375,u000081,post_fail_reward,2026-08-29 04:39:50,1
ad000000376,u000081,post_fail_reward,2026-08-29 20:31:23,1
ad000000377,u000081,post_fail_reward,2026-08-29 20:32:13,1
ad000000378,u000081,post_fail_reward,2026-08-31 07:56:23,0
ad000000379,u000081,post_fail_reward,2026-08-31 08:00:57,0
ad000000380,u000081,post_fail_reward,2026-08-31 08:03:03,1
ad000000381,u000081,post_fail_reward,2026-08-30 22:07:57,1
ad000000382,u000081,post_fail_reward,2026-08-31 05:05:46,1
ad000000383,u000081,post_fail_reward,2026-08-31 05:09:33,1
ad000000384,u000081,post_fail_reward,2026-08-31 20:26:53,1
ad000000385,u000081,post_fail_reward,2026-09-01 07:41:02,1
ad000000386,u000081,post_fail_reward,2026-09-01 04:12:58,1
ad000000387,u000081,post_fail_reward,2026-09-01 04:17:14,1
ad000000388,u000081,post_fail_reward,2026-09-01 20:33:31,0
ad000000389,u000081,post_fail_reward,2026-09-01 20:35:52,1
ad000000390,u000081,post_fail_reward,2026-09-02 04:07:38,1
ad000000391,u000081,post_fail_reward,2026-09-02 04:09:47,1
ad000000392,u000081,post_fail_reward,2026-09-02 20:05:59,1
ad000000393,u000081,post_fail_reward,2026-09-02 20:07:16,1
ad000000394,u000081,post_fail_reward,2026-09-02 20:12:49,1
ad000000395,u000081,post_fail_reward,2026-09-03 20:44:31,1
ad000000396,u000081,post_fail_reward,2026-09-03 22:17:10,1
ad000000397,u000081,post_fail_reward,2026-09-03 22:20:25,1
ad000000398,u000081,post_fail_reward,2026-09-03 22:22:43,1
ad000000399,u000081,post_fail_reward,2026-09-04 04:12:16,0
ad000000400,u000081,post_fail_reward,2026-09-04 04:15:53,1
ad000000401,u000081,post_fail_reward,2026-09-04 20:55:02,1
ad000000402,u000081,post_fail_reward,2026-09-04 20:57:34,1
ad000000403,u000081,post_fail_reward,2026-09-05 01:28:13,1
ad000000404,u000081,post_fail_reward,2026-09-05 01:32:22,1
ad000000405,u000081,post_fail_reward,2026-09-05 01:36:05,1
ad000000406,u000081,post_fail_reward,2026-09-05 20:40:52,0
ad000000407,u000081,post_fail_reward,2026-09-06 20:45:11,1
ad000000408,u000081,post_fail_reward,2026-09-07 04:03:34,1
ad000000409,u000081,post_fail_reward,2026-09-07 04:11:47,1
ad000000410,u000082,post_fail_reward,2026-09-04 11:52:10,1
ad000000411,u000082,post_fail_reward,2026-09-05 23:00:20,1
ad000000412,u000085,post_fail_reward,2026-09-06 09:25:15,1
ad000000413,u000085,post_fail_reward,2026-09-10 17:53:29,1
ad000000414,u000089,post_fail_reward,2026-08-21 19:06:20,1
ad000000415,u000090,post_fail_reward,2026-09-06 14:54:19,1
ad000000416,u000090,post_fail_reward,2026-09-06 19:40:06,1
ad000000417,u000090,post_fail_reward,2026-09-06 19:45:40,1
ad000000418,u000090,post_fail_reward,2026-09-06 16:49:13,1
ad000000419,u000090,post_fail_reward,2026-09-07 14:56:45,1
ad000000420,u000090,post_fail_reward,2026-09-08 14:32:13,1
ad000000421,u000090,post_fail_reward,2026-09-08 14:36:58,0
ad000000422,u000090,post_fail_reward,2026-09-08 16:56:57,1
