purchase_id,user_id,product_id,product_type,price_krw,ts,level_at_purchase
p0000045,u000762,continue_1,continue,1200,2026-08-17 16:11:09,15
p0000046,u000772,coin_small,currency,5500,2026-08-27 15:57:13,31
p0000047,u000772,booster_5,booster,3300,2026-08-29 23:57:22,40
p0000048,u000772,booster_5,booster,3300,2026-08-29 23:59:34,40
p0000049,u000789,coin_small,currency,5500,2026-09-04 10:14:07,45
p0000050,u000799,continue_1,continue,1200,2026-08-19 15:16:10,8
p0000051,u000799,coin_large,currency,22000,2026-08-24 10:30:54,36
p0000052,u000799,coin_small,currency,5500,2026-09-04 10:26:47,63
p0000053,u000799,booster_5,booster,3300,2026-09-08 10:27:14,73
p0000054,u000804,booster_5,booster,3300,2026-08-27 18:08:41,12
p0000055,u000804,coin_large,currency,22000,2026-08-28 04:33:02,12
p0000056,u000804,coin_large,currency,22000,2026-08-28 18:00:37,19
p0000057,u000816,continue_1,continue,1200,2026-08-29 07:18:37,22
p0000058,u000824,continue_1,continue,1200,2026-08-27 16:54:00,5
p0000059,u000829,remove_ads,utility,11000,2026-08-31 21:12:08,29
p0000060,u000834,booster_5,booster,3300,2026-08-27 13:15:05,3
p0000061,u000840,continue_1,continue,1200,2026-09-08 16:08:54,20
p0000062,u000840,coin_small,currency,5500,2026-09-12 16:39:16,33
p0000063,u000863,remove_ads,utility,11000,2026-09-06 18:50:23,42
p0000064,u000913,booster_5,booster,3300,2026-09-06 23:55:56,53
p0000065,u000924,continue_1,continue,1200,2026-08-24 15:40:43,17
p0000066,u000946,coin_small,currency,5500,2026-09-06 11:48:39,42
p0000067,u000946,coin_large,currency,22000,2026-09-08 22:25:02,47
p0000068,u000959,booster_5,booster,3300,2026-08-17 14:48:58,12
p0000069,u000970,continue_1,continue,1200,2026-09-04 08:03:57,2
p0000070,u000981,continue_1,continue,1200,2026-09-01 09:21:25,13
p0000071,u000981,booster_5,booster,3300,2026-09-02 09:16:40,26
p0000072,u000981,booster_5,booster,3300,2026-09-03 14:21:59,31
p0000073,u000981,coin_large,currency,22000,2026-09-06 10:00:01,37
p0000074,u001041,continue_1,continue,1200,2026-09-09 06:33:20,86
p0000075,u001134,booster_5,booster,3300,2026-09-01 16:48:18,26
p0000076,u001134,booster_5,booster,3300,2026-09-02 16:21:09,34
p0000077,u001134,booster_5,booster,3300,2026-09-04 18:48:17,43
p0000078,u001134,coin_large,currency,22000,2026-09-04 18:50:33,43
p0000079,u001134,coin_small,currency,5500,2026-09-05 16:20:07,44
p0000080,u001134,coin_large,currency,22000,2026-09-08 16:45:14,54
p0000081,u001181,continue_1,continue,1200,2026-09-01 11:03:20,58
p0000082,u001192,booster_5,booster,3300,2026-08-31 03:43:51,50
p0000083,u001192,booster_5,booster,3300,2026-08-31 19:52:08,59
p0000084,u001192,continue_1,continue,1200,2026-09-01 19:36:26,59
p0000085,u001192,coin_small,currency,5500,2026-09-07 19:15:53,81
p0000086,u001225,continue_1,continue,1200,2026-08-24 11:27:15,15
p0000087,u001278,continue_1,continue,1200,2026-08-29 13:43:37,40
p0000088,u001278,booster_5,booster,3300,2026-08-31 13:08:53,44
p0000089,u001278,booster_5,booster,3300,2026-09-03 13:21:24,51
p0000090,u001278,continue_1,continue,1200,2026-09-09 13:28:35,66
p0000091,u001278,coin_small,currency,5500,2026-09-13 18:53:09,83
p0000092,u001287,continue_1,continue,1200,2026-09-06 00:57:54,64
p0000093,u001298,continue_1,continue,1200,2026-08-28 20:24:33,34
p0000094,u001298,booster_5,booster,3300,2026-08-29 04:24:55,34
p0000095,u001305,booster_5,booster,3300,2026-09-04 07:32:12,3
p0000096,u001305,continue_1,continue,1200,2026-09-05 09:05:27,12
p0000097,u001305,coin_large,currency,22000,2026-09-05 09:06:50,12
p0000098,u001305,booster_5,booster,3300,2026-09-08 07:16:18,23
p0000099,u001305,remove_ads,utility,11000,2026-09-09 15:36:19,26
p0000100,u001305,booster_5,booster,3300,2026-09-09 07:31:23,31
p0000101,u001337,coin_small,currency,5500,2026-09-06 21:49:00,12
p0000102,u001344,remove_ads,utility,11000,2026-08-26 19:33:16,36
p0000103,u001344,coin_large,currency,22000,2026-09-11 19:38:32,74
p0000104,u001345,remove_ads,utility,11000,2026-09-09 03:56:34,40
p0000105,u001381,continue_1,continue,1200,2026-08-18 18:24:49,8
p0000106,u001381,coin_small,currency,5500,2026-08-19 09:09:39,12
p0000107,u001381,continue_1,continue,1200,2026-09-12 07:48:08,83
p0000108,u001394,continue_1,continue,1200,2026-09-13 09:51:10,126
p0000109,u001403,continue_1,continue,1200,2026-08-20 07:45:51,12
p0000110,u001403,booster_5,booster,3300,2026-08-23 18:36:38,32
p0000111,u001403,coin_large,currency,22000,2026-08-27 08:01:03,49
p0000112,u001403,coin_small,currency,5500,2026-08-30 15:56:07,62
p0000113,u001403,remove_ads,utility,11000,2026-09-11 16:08:34,107
p0000114,u001411,booster_5,booster,3300,2026-09-10 16:22:25,37
p0000115,u001420,booster_5,booster,3300,2026-08-28 07:07:25,28
p0000116,u001420,remove_ads,utility,11000,2026-09-08 07:19:53,71
p0000117,u001420,coin_small,currency,5500,2026-09-09 07:10:27,76
p0000118,u001420,booster_5,booster,3300,2026-09-12 15:13:43,79
p0000119,u001488,continue_1,continue,1200,2026-08-27 23:28:35,12
p0000120,u001530,booster_5,booster,3300,2026-08-30 14:53:23,34
p0000121,u001545,remove_ads,utility,11000,2026-09-04 21:54:42,60
p0000122,u001545,coin_small,currency,5500,2026-09-05 21:26:33,64
p0000123,u001545,booster_5,booster,3300,2026-09-12 21:22:59,86
p0000124,u001564,continue_1,continue,1200,2026-09-04 21:28:16,57
p0000125,u001564,booster_5,booster,3300,2026-09-10 23:06:24,76
p0000126,u001566,coin_small,currency,5500,2026-08-24 20:18:10,6
p0000127,u001593,continue_1,continue,1200,2026-09-01 16:42:13,18
p0000128,u001628,coin_small,currency,5500,2026-08-29 04:18:32,3
p0000129,u001641,booster_5,booster,3300,2026-08-17 12:10:40,4
p0000130,u001671,continue_1,continue,1200,2026-09-07 23:24:17,26
p0000131,u001676,coin_small,currency,5500,2026-08-26 18:47:03,3
p0000132,u001706,continue_1,continue,1200,2026-08-24 16:05:44,34
p0000133,u001707,booster_5,booster,3300,2026-09-02 13:18:26,12
p0000134,u001731,booster_5,booster,3300,2026-08-23 23:26:33,10
p0000135,u001784,continue_1,continue,1200,2026-08-27 07:10:33,2
p0000136,u001828,coin_small,currency,5500,2026-08-29 07:20:13,53
p0000137,u001859,booster_5,booster,3300,2026-09-07 10:44:48,49
p0000138,u001866,remove_ads,utility,11000,2026-09-13 18:05:41,39
p0000139,u001944,booster_5,booster,3300,2026-08-27 08:32:12,14
p0000140,u001953,continue_1,continue,1200,2026-08-23 07:31:30,19
p0000141,u001955,continue_1,continue,1200,2026-09-03 17:46:53,15
p0000142,u001958,continue_1,continue,1200,2026-08-26 08:25:40,8
p0000143,u001962,remove_ads,utility,11000,2026-08-22 09:00:14,4
p0000144,u001962,coin_large,currency,22000,2026-08-23 08:37:25,12
p0000145,u001962,continue_1,continue,1200,2026-08-24 08:44:02,18
p0000146,u001962,coin_small,currency,5500,2026-08-24 16:15:11,21
p0000147,u001962,coin_small,currency,5500,2026-09-04 08:31:41,57
p0000148,u001962,booster_5,booster,3300,2026-09-04 08:44:39,59
p0000149,u001962,coin_large,currency,22000,2026-09-07 08:29:56,69
p0000150,u001962,remove_ads,utility,11000,2026-09-09 19:21:57,75
p0000151,u001972,continue_1,continue,1200,2026-09-02 13:36:25,10
p0000152,u001999,continue_1,continue,1200,2026-08-23 11:57:31,15
p0000153,u002104,continue_1,continue,1200,2026-08-26 12:48:18,41
p0000154,u002104,remove_ads,utility,11000,2026-09-01 20:36:16,61
p0000155,u002104,coin_small,currency,5500,2026-09-08 14:08:12,84
p0000156,u002111,continue_1,continue,1200,2026-09-02 20:10:26,11
p0000157,u002112,continue_1,continue,1200,2026-09-09 09:08:41,51
p0000158,u002112,coin_small,currency,5500,2026-09-09 09:14:28,52
p0000159,u002112,booster_5,booster,3300,2026-09-09 22:48:49,53
p0000160,u002112,coin_small,currency,5500,2026-09-10 09:10:49,53
p0000161,u002112,booster_5,booster,3300,2026-09-11 09:53:49,58
p0000162,u002112,coin_large,currency,22000,2026-09-13 23:10:43,65
p0000163,u002119,coin_small,currency,5500,2026-08-19 23:02:16,7
p0000164,u002119,coin_small,currency,5500,2026-08-22 20:56:08,20
p0000165,u002119,booster_5,booster,3300,2026-08-24 20:46:43,22
p0000166,u002119,continue_1,continue,1200,2026-08-27 20:10:35,30
p0000167,u002119,coin_large,currency,22000,2026-09-01 04:35:10,44
p0000168,u002119,coin_large,currency,22000,2026-09-04 01:31:44,56
p0000169,u002119,coin_small,currency,5500,2026-09-04 20:20:03,60
p0000170,u002119,coin_large,currency,22000,2026-09-05 20:04:49,64
p0000171,u002119,coin_large,currency,22000,2026-09-11 20:17:30,81
p0000172,u002120,booster_5,booster,3300,2026-09-12 08:25:59,96
p0000173,u002129,coin_small,currency,5500,2026-08-22 07:23:23,34
p0000174,u002146,coin_large,currency,22000,2026-08-23 19:23:53,35
p0000175,u002155,continue_1,continue,1200,2026-08-25 07:04:07,4
p0000176,u002169,booster_5,booster,3300,2026-09-13 18:07:02,40
p0000177,u002175,coin_small,currency,5500,2026-09-09 23:33:50,28
p0000178,u002185,remove_ads,utility,11000,2026-08-30 23:54:58,6
p0000179,u002235,coin_small,currency,5500,2026-08-25 22:32:03,12
p0000180,u002249,continue_1,continue,1200,2026-09-13 13:08:33,49
p0000181,u002253,coin_small,currency,5500,2026-08-30 18:11:10,65
p0000182,u002321,booster_5,booster,3300,2026-08-27 12:26:20,10
p0000183,u002321,coin_small,currency,5500,2026-09-02 00:04:40,34
p0000184,u002321,booster_5,booster,3300,2026-09-05 23:47:46,52
p0000185,u002349,remove_ads,utility,11000,2026-09-02 15:36:08,9
p0000186,u002356,coin_small,currency,5500,2026-09-08 21:46:14,36
p0000187,u002356,coin_small,currency,5500,2026-09-11 05:14:06,37
p0000188,u002356,booster_5,booster,3300,2026-09-12 21:38:55,39
p0000189,u002366,remove_ads,utility,11000,2026-09-05 01:11:15,12
p0000190,u002367,booster_5,booster,3300,2026-09-09 10:26:18,55
p0000191,u002386,booster_5,booster,3300,2026-08-27 07:48:19,9
p0000192,u002442,coin_small,currency,5500,2026-09-07 18:53:56,62
p0000193,u002465,continue_1,continue,1200,2026-08-23 14:43:16,29
p0000194,u002496,booster_5,booster,3300,2026-09-05 19:59:43,46
p0000195,u002496,booster_5,booster,3300,2026-09-08 21:29:53,68
p0000196,u002496,remove_ads,utility,11000,2026-09-12 19:49:47,77
p0000197,u002503,coin_small,currency,5500,2026-09-09 21:37:02,45
p0000198,u002506,continue_1,continue,1200,2026-09-02 17:42:44,20
p0000199,u002542,continue_1,continue,1200,2026-08-25 23:12:30,3
p0000200,u002590,continue_1,continue,1200,2026-09-05 12:19:15,12
p0000201,u002593,coin_small,currency,5500,2026-09-08 20:37:01,52
p0000202,u002593,coin_small,currency,5500,2026-09-11 22:55:21,72
p0000203,u002593,coin_large,currency,22000,2026-09-12 07:52:23,74
p0000204,u002593,booster_5,booster,3300,2026-09-12 20:46:55,76
p0000205,u002594,booster_5,booster,3300,2026-09-05 17:33:33,14
p0000206,u002611,coin_small,currency,5500,2026-09-03 15:29:09,37
p0000207,u002611,coin_small,currency,5500,2026-09-08 15:48:11,54
p0000208,u002611,coin_small,currency,5500,2026-09-10 17:12:16,60
p0000209,u002633,continue_1,continue,1200,2026-09-12 17:53:06,31
p0000210,u002649,coin_small,currency,5500,2026-08-20 22:47:44,29
p0000211,u002649,booster_5,booster,3300,2026-09-11 22:44:09,89
p0000212,u002649,booster_5,booster,3300,2026-09-13 03:14:40,95
p0000213,u002652,booster_5,booster,3300,2026-09-11 15:33:37,91
p0000214,u002654,coin_small,currency,5500,2026-09-10 18:21:02,80
p0000215,u002668,booster_5,booster,3300,2026-08-27 20:41:51,21
p0000216,u002677,coin_small,currency,5500,2026-08-31 16:19:35,27
p0000217,u002719,booster_5,booster,3300,2026-09-13 18:33:18,54
p0000218,u002721,booster_5,booster,3300,2026-09-08 15:10:37,71
p0000219,u002732,continue_1,continue,1200,2026-09-07 20:57:11,19
p0000220,u002732,coin_small,currency,5500,2026-09-09 21:09:30,27
p0000221,u002732,coin_small,currency,5500,2026-09-09 22:47:48,27
p0000222,u002732,booster_5,booster,3300,2026-09-12 07:21:48,35
p0000223,u002732,booster_5,booster,3300,2026-09-13 20:42:30,42
p0000224,u002740,booster_5,booster,3300,2026-08-31 15:56:48,7
p0000225,u002750,coin_large,currency,22000,2026-08-26 19:32:39,14
p0000226,u002784,continue_1,continue,1200,2026-09-13 23:05:34,85
p0000227,u002825,booster_5,booster,3300,2026-09-04 09:27:12,8
p0000228,u002825,booster_5,booster,3300,2026-09-13 12:58:55,43
p0000229,u002830,continue_1,continue,1200,2026-08-22 17:32:03,12
p0000230,u002838,coin_large,currency,22000,2026-08-29 20:00:22,14
p0000231,u002838,coin_large,currency,22000,2026-08-29 20:01:44,14
p0000232,u002859,coin_small,currency,5500,2026-08-26 06:03:09,8
p0000233,u002876,continue_1,continue,1200,2026-09-11 12:47:51,27
p0000234,u002906,continue_1,continue,1200,2026-08-26 05:20:14,30
p0000235,u002906,continue_1,continue,1200,2026-08-31 05:46:16,48
p0000236,u002906,coin_large,currency,22000,2026-09-11 21:56:34,84
p0000237,u002925,continue_1,continue,1200,2026-08-24 11:42:07,21
p0000238,u002934,booster_5,booster,3300,2026-09-02 23:58:28,60
p0000239,u002944,coin_small,currency,5500,2026-08-16 22:48:24,2
p0000240,u002944,coin_small,currency,5500,2026-08-24 00:37:21,43
p0000241,u002944,booster_5,booster,3300,2026-08-24 22:26:19,44
p0000242,u002944,coin_small,currency,5500,2026-08-26 06:50:10,49
p0000243,u002944,booster_5,booster,3300,2026-08-27 22:07:02,54
p0000244,u002944,coin_small,currency,5500,2026-08-28 06:40:15,56
p0000245,u002944,booster_5,booster,3300,2026-09-04 22:16:14,85
p0000246,u002944,booster_5,booster,3300,2026-09-07 09:07:19,93
p0000247,u002984,coin_small,currency,5500,2026-09-07 10:42:03,43
p0000248,u002984,booster_5,booster,3300,2026-09-08 12:55:09,47
p0000249,u002991,coin_small,currency,5500,2026-09-05 20:48:32,4
p0000250,u003013,booster_5,booster,3300,2026-08-19 00:23:20,16
p0000251,u003013,coin_large,currency,22000,2026-08-19 16:09:57,23
p0000252,u003016,booster_5,booster,3300,2026-08-22 07:41:46,6
p0000253,u003021,continue_1,continue,1200,2026-09-07 12:54:53,67
p0000254,u003034,continue_1,continue,1200,2026-08-20 15:48:49,26
p0000255,u003034,coin_large,currency,22000,2026-08-23 13:15:42,31
p0000256,u003034,booster_5,booster,3300,2026-08-23 15:51:35,34
p0000257,u003034,booster_5,booster,3300,2026-08-23 15:54:03,34
p0000258,u003034,coin_large,currency,22000,2026-08-25 13:50:24,39
p0000259,u003075,booster_5,booster,3300,2026-08-31 05:04:04,31
p0000260,u003075,coin_small,currency,5500,2026-08-31 05:06:51,33
p0000261,u003075,coin_small,currency,5500,2026-08-31 05:10:12,34
p0000262,u003075,booster_5,booster,3300,2026-08-31 21:33:47,37
p0000263,u003075,coin_small,currency,5500,2026-09-02 05:52:59,41
p0000264,u003075,booster_5,booster,3300,2026-09-06 02:33:21,56
p0000265,u003075,coin_small,currency,5500,2026-09-06 21:13:08,58
p0000266,u003075,continue_1,continue,1200,2026-09-09 22:00:26,67
p0000267,u003086,continue_1,continue,1200,2026-09-03 23:56:25,52
p0000268,u003086,booster_5,booster,3300,2026-09-06 15:36:48,63
p0000269,u003086,continue_1,continue,1200,2026-09-08 15:15:56,69
p0000270,u003122,booster_5,booster,3300,2026-08-25 19:12:16,38
p0000271,u003133,continue_1,continue,1200,2026-09-10 15:28:41,30
p0000272,u003136,booster_5,booster,3300,2026-08-30 22:53:23,38
p0000273,u003136,coin_large,currency,22000,2026-09-01 20:43:28,44
p0000274,u003136,booster_5,booster,3300,2026-09-02 01:16:54,44
p0000275,u003136,remove_ads,utility,11000,2026-09-02 20:45:58,44
p0000276,u003136,continue_1,continue,1200,2026-09-04 20:42:43,54
p0000277,u003136,booster_5,booster,3300,2026-09-04 20:45:45,55
p0000278,u003136,coin_large,currency,22000,2026-09-08 20:19:37,59
p0000279,u003136,coin_large,currency,22000,2026-09-11 20:08:44,71
p0000280,u003136,booster_5,booster,3300,2026-09-12 20:49:40,71
p0000281,u003190,booster_5,booster,3300,2026-08-27 16:51:54,1
p0000282,u003228,booster_5,booster,3300,2026-09-03 16:43:59,30
p0000283,u003241,continue_1,continue,1200,2026-09-05 10:35:02,26
p0000284,u003267,continue_1,continue,1200,2026-08-26 14:54:21,18
p0000285,u003291,continue_1,continue,1200,2026-08-29 04:14:03,13
p0000286,u003292,coin_small,currency,5500,2026-09-01 00:27:40,20
p0000287,u003298,continue_1,continue,1200,2026-08-27 11:31:15,12
p0000288,u003309,booster_5,booster,3300,2026-08-19 18:33:18,20
p0000289,u003309,booster_5,booster,3300,2026-08-22 18:47:46,28
p0000290,u003309,coin_small,currency,5500,2026-08-26 18:22:00,46
p0000291,u003312,remove_ads,utility,11000,2026-08-20 11:01:58,26
p0000292,u003312,coin_small,currency,5500,2026-09-03 23:11:56,68
p0000293,u003312,continue_1,continue,1200,2026-09-05 23:10:15,75
p0000294,u003316,coin_large,currency,22000,2026-09-07 09:42:55,13
p0000295,u003316,booster_5,booster,3300,2026-09-08 14:19:08,17
p0000296,u003316,coin_large,currency,22000,2026-09-12 09:19:08,28
p0000297,u003316,booster_5,booster,3300,2026-09-13 09:25:29,36
p0000298,u003326,continue_1,continue,1200,2026-08-27 21:00:21,12
p0000299,u003351,continue_1,continue,1200,2026-09-03 16:59:52,38
p0000300,u003425,coin_small,currency,5500,2026-09-10 10:02:40,53
p0000301,u003446,coin_small,currency,5500,2026-08-30 17:28:26,18
p0000302,u003447,continue_1,continue,1200,2026-08-31 17:52:17,54
p0000303,u003484,continue_1,continue,1200,2026-08-23 21:45:21,21
p0000304,u003484,coin_small,currency,5500,2026-09-04 05:40:16,62
p0000305,u003484,continue_1,continue,1200,2026-09-04 21:56:31,62
p0000306,u003484,booster_5,booster,3300,2026-09-10 08:56:14,71
p0000307,u003484,booster_5,booster,3300,2026-09-13 21:58:18,79
p0000308,u003540,continue_1,continue,1200,2026-08-22 01:17:45,11
p0000309,u003591,coin_small,currency,5500,2026-08-25 10:53:57,10
p0000310,u003594,coin_small,currency,5500,2026-09-01 14:58:49,11
p0000311,u003599,coin_small,currency,5500,2026-08-24 09:13:44,11
p0000312,u003599,coin_small,currency,5500,2026-08-26 10:03:10,17
p0000313,u003599,continue_1,continue,1200,2026-09-03 17:51:28,50
p0000314,u003599,continue_1,continue,1200,2026-09-07 09:24:20,60
p0000315,u003599,remove_ads,utility,11000,2026-09-07 21:02:07,60
p0000316,u003599,coin_small,currency,5500,2026-09-12 09:20:08,71
p0000317,u003625,booster_5,booster,3300,2026-09-02 14:37:44,54
p0000318,u003625,coin_large,currency,22000,2026-09-03 17:49:07,61
p0000319,u003625,coin_large,currency,22000,2026-09-05 14:52:40,70
p0000320,u003625,remove_ads,utility,11000,2026-09-07 14:19:30,84
p0000321,u003625,coin_large,currency,22000,2026-09-07 14:21:27,84
p0000322,u003625,coin_small,currency,5500,2026-09-09 12:05:59,86
p0000323,u003625,booster_5,booster,3300,2026-09-09 12:11:36,88
p0000324,u003645,booster_5,booster,3300,2026-08-25 02:52:33,47
p0000325,u003645,coin_large,currency,22000,2026-08-27 21:22:04,59
p0000326,u003645,booster_5,booster,3300,2026-08-29 21:49:12,61
p0000327,u003645,coin_large,currency,22000,2026-08-30 21:40:08,65
p0000328,u003657,continue_1,continue,1200,2026-09-07 23:54:10,24
p0000329,u003657,continue_1,continue,1200,2026-09-08 23:56:42,31
p0000330,u003657,remove_ads,utility,11000,2026-09-10 01:25:04,35
p0000331,u003693,continue_1,continue,1200,2026-09-11 01:42:04,40
p0000332,u003696,booster_5,booster,3300,2026-08-29 20:54:48,46
p0000333,u003696,booster_5,booster,3300,2026-09-09 22:28:37,87
p0000334,u003712,booster_5,booster,3300,2026-08-24 15:25:13,13
p0000335,u003736,continue_1,continue,1200,2026-09-05 18:32:26,18
p0000336,u003757,coin_small,currency,5500,2026-08-27 09:23:55,24
p0000337,u003787,booster_5,booster,3300,2026-09-03 19:25:42,29
p0000338,u003787,booster_5,booster,3300,2026-09-07 19:20:13,54
p0000339,u003796,booster_5,booster,3300,2026-09-06 12:00:15,29
p0000340,u003807,coin_small,currency,5500,2026-09-03 17:53:04,12
p0000341,u003808,booster_5,booster,3300,2026-09-07 08:10:30,12
p0000342,u003867,booster_5,booster,3300,2026-08-16 04:16:21,5
p0000343,u003960,continue_1,continue,1200,2026-08-28 09:22:10,28
p0000344,u003962,coin_small,currency,5500,2026-08-23 14:56:48,30
p0000345,u003996,continue_1,continue,1200,2026-09-07 11:37:16,35
p0000346,u004000,remove_ads,utility,11000,2026-08-18 19:58:15,8
p0000347,u004001,coin_large,currency,22000,2026-09-02 13:12:59,16
p0000348,u004012,coin_small,currency,5500,2026-08-25 16:57:11,4
p0000349,u004017,continue_1,continue,1200,2026-08-30 05:52:40,29
p0000350,u004025,coin_small,currency,5500,2026-08-20 23:03:41,8
p0000351,u004067,continue_1,continue,1200,2026-09-13 20:47:33,80
p0000352,u004071,continue_1,continue,1200,2026-08-27 10:00:14,56
p0000353,u004071,coin_small,currency,5500,2026-08-31 22:15:12,74
p0000354,u004084,continue_1,continue,1200,2026-09-01 15:18:58,12
p0000355,u004122,continue_1,continue,1200,2026-08-30 13:52:59,5
p0000356,u004135,continue_1,continue,1200,2026-08-27 23:43:23,35
p0000357,u004135,coin_small,currency,5500,2026-08-29 07:55:42,41
p0000358,u004135,booster_5,booster,3300,2026-08-31 23:17:38,53
p0000359,u004135,booster_5,booster,3300,2026-09-05 23:19:11,76
p0000360,u004153,continue_1,continue,1200,2026-08-27 14:50:01,16
p0000361,u004180,remove_ads,utility,11000,2026-08-31 20:05:07,50
p0000362,u004196,coin_small,currency,5500,2026-08-28 14:59:43,8
p0000363,u004231,coin_large,currency,22000,2026-09-10 20:46:18,77
p0000364,u004248,booster_5,booster,3300,2026-09-07 20:13:23,27
p0000365,u004251,booster_5,booster,3300,2026-09-05 18:29:00,15
p0000366,u004271,continue_1,continue,1200,2026-08-26 19:26:33,31
p0000367,u004286,coin_small,currency,5500,2026-08-30 17:54:17,5
p0000368,u004286,continue_1,continue,1200,2026-09-05 20:38:18,45
p0000369,u004286,continue_1,continue,1200,2026-09-12 15:24:57,60
p0000370,u004286,coin_large,currency,22000,2026-09-13 15:28:15,65
p0000371,u004294,coin_small,currency,5500,2026-09-04 10:15:08,37
p0000372,u004302,continue_1,continue,1200,2026-09-07 21:24:57,12
p0000373,u004346,booster_5,booster,3300,2026-09-04 19:14:05,11
p0000374,u004365,coin_small,currency,5500,2026-08-31 20:36:01,21
p0000375,u004365,coin_large,currency,22000,2026-09-08 20:36:04,56
p0000376,u004403,booster_5,booster,3300,2026-09-05 16:24:08,47
p0000377,u004403,coin_large,currency,22000,2026-09-10 16:13:09,73
p0000378,u004473,coin_small,currency,5500,2026-09-09 14:59:44,54
p0000379,u004473,booster_5,booster,3300,2026-09-12 14:31:37,66
p0000380,u004488,booster_5,booster,3300,2026-08-26 12:47:31,33
p0000381,u004575,continue_1,continue,1200,2026-09-01 15:47:33,67
p0000382,u004575,coin_large,currency,22000,2026-09-04 13:40:19,75
p0000383,u004584,remove_ads,utility,11000,2026-08-22 22:54:57,6
p0000384,u004584,remove_ads,utility,11000,2026-08-25 17:02:23,33
p0000385,u004584,booster_5,booster,3300,2026-08-26 11:18:38,38
p0000386,u004584,remove_ads,utility,11000,2026-08-27 11:27:45,41
p0000387,u004584,continue_1,continue,1200,2026-08-30 22:46:37,51
p0000388,u004584,booster_5,booster,3300,2026-09-02 11:42:35,63
p0000389,u004613,booster_5,booster,3300,2026-08-19 21:45:36,12
p0000390,u004613,continue_1,continue,1200,2026-08-31 08:31:34,57
p0000391,u004623,continue_1,continue,1200,2026-09-02 15:27:37,45
p0000392,u004626,continue_1,continue,1200,2026-08-29 10:14:35,41
p0000393,u004626,continue_1,continue,1200,2026-09-04 10:06:16,54
p0000394,u004626,booster_5,booster,3300,2026-09-06 11:06:00,65
p0000395,u004626,booster_5,booster,3300,2026-09-06 18:10:09,69
p0000396,u004626,coin_small,currency,5500,2026-09-08 10:28:55,80
p0000397,u004630,continue_1,continue,1200,2026-08-23 07:39:18,20
